molecule,geometry_id,full_AO_width,electrons,projector_residual_max,eigenvalue_distance_min,eigenvalue_distance_max,density_symmetry_residual,root_reconstruction_residual,saved_transform_residual,electron_trace_residual,MO_density_residual,status,eigenvalues
LiH,001,6,4,3.9968028886505635e-15,1.56666068074859e-20,2.6645352591003757e-15,2.220446049250313e-16,0.0,0.0,3.552713678800501e-15,0.0,PASS,"[-7.210192779265226e-17, 1.56666068074859e-20, 1.8000158128663558e-17, 1.043641324698081e-16, 2.0000000000000004, 2.0000000000000027]"
LiH,002,6,4,1.3322676295501878e-15,7.65904388233641e-20,1.3322676295501878e-15,5.551115123125783e-17,0.0,0.0,8.881784197001252e-16,0.0,PASS,"[-1.8114399610715424e-16, -6.5543804557830804e-18, -7.65904388233641e-20, 1.7079380151302626e-16, 1.9999999999999993, 2.0000000000000013]"
LiH,003,6,4,3.1086244689504383e-15,1.4207955475812077e-20,1.7763568394002505e-15,1.1102230246251565e-16,0.0,0.0,0.0,0.0,PASS,"[-3.131554708137202e-16, -4.9265334479950375e-17, -1.4207955475812077e-20, 2.262316561683099e-16, 1.9999999999999982, 2.0000000000000018]"
LiH,004,6,4,4.218847493575595e-15,0.0,4.6629367034256575e-15,1.5959455978986625e-16,0.0,0.0,3.552713678800501e-15,0.0,PASS,"[-2.0822118411457559e-16, -3.861259174891353e-17, -1.3874074211353635e-21, 2.3422420052476666e-17, 1.9999999999999953, 2.0]"
LiH,005,6,4,2.6645352591003757e-15,0.0,2.886579864025407e-15,1.1102230246251565e-16,0.0,0.0,2.6645352591003757e-15,0.0,PASS,"[-7.964416865371542e-17, 1.5102992406046726e-19, 7.380710937749668e-17, 2.805279199264772e-16, 1.9999999999999971, 2.0]"
LiH,006,6,4,7.993605777301127e-15,2.8637420273832077e-19,3.9968028886505635e-15,1.6653345369377348e-16,0.0,0.0,7.105427357601002e-15,0.0,PASS,"[-1.998275326293469e-16, -4.7425676308088213e-17, -2.8637420273832077e-19, 1.5148052059067667e-16, 2.000000000000003, 2.000000000000004]"
LiH,007,6,4,1.7763568394002505e-15,5.082558915247347e-20,1.1102230246251565e-15,3.3306690738754696e-16,0.0,0.0,4.440892098500626e-16,0.0,PASS,"[-3.8716172321948226e-16, -2.889135943772938e-17, 5.082558915247347e-20, 9.522111911059012e-17, 1.999999999999999, 2.000000000000001]"
LiH,008,6,4,1.3322676295501878e-15,1.8806797011134442e-20,2.220446049250313e-15,1.6653345369377348e-16,0.0,0.0,2.220446049250313e-15,0.0,PASS,"[-1.0580734794702197e-16, -3.377860067787687e-17, 1.8806797011134442e-20, 1.6003677546815239e-16, 1.9999999999999978, 1.9999999999999996]"
LiH,009,6,4,4.440892098500626e-15,4.20857594950792e-20,1.7763568394002505e-15,1.3877787807814457e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-3.05186394859937e-16, -1.4654127313590125e-16, 4.20857594950792e-20, 1.553913825736396e-16, 1.9999999999999993, 2.0000000000000018]"
LiH,010,6,4,5.773159728050814e-15,5.769088212196944e-22,3.552713678800501e-15,1.1102230246251565e-16,0.0,0.0,0.0,0.0,PASS,"[-3.1662519654917565e-16, -5.0596179782565766e-17, 5.769088212196944e-22, 3.672280325712784e-17, 1.9999999999999971, 2.0000000000000036]"
LiH,011,6,4,4.440892098500626e-15,1.0539776796585523e-18,2.220446049250313e-15,1.6653345369377348e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-2.02258105513531e-16, -7.235342097281599e-17, 1.0539776796585523e-18, 2.5124475562534616e-16, 1.9999999999999987, 2.000000000000002]"
LiH,012,6,4,3.9968028886505635e-15,2.4258487216248587e-20,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-2.0382480246952556e-16, -7.019241309851255e-17, 2.4258487216248587e-20, 7.610455493446229e-17, 2.0000000000000004, 2.0000000000000018]"
LiH,013,6,4,1.8457457784393227e-15,2.0504392310082806e-21,1.5543122344752192e-15,1.1102230246251565e-16,0.0,0.0,1.3322676295501878e-15,0.0,PASS,"[-2.703434359857333e-16, -5.533963341422091e-17, 2.0504392310082806e-21, 2.334039068563253e-16, 1.9999999999999984, 2.000000000000001]"
LiH,014,6,4,4.218847493575595e-15,1.616278773869846e-20,4.884981308350689e-15,1.6653345369377348e-16,0.0,0.0,2.6645352591003757e-15,0.0,PASS,"[-2.1143767614661319e-16, -2.2729189248005895e-17, 1.616278773869846e-20, 8.318026169548785e-17, 1.999999999999998, 2.000000000000005]"
LiH,015,6,4,2.6645352591003757e-15,1.928928627237753e-21,1.7763568394002505e-15,1.8041124150158794e-16,0.0,0.0,8.881784197001252e-16,0.0,PASS,"[-2.1749559130537297e-16, -6.9030529078220074e-18, -1.928928627237753e-21, 2.6944953147026447e-16, 1.9999999999999996, 2.0000000000000018]"
LiH,016,6,4,2.6645352591003757e-15,1.615482043613109e-20,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,1.3322676295501878e-15,0.0,PASS,"[-1.7060057805102535e-16, -1.615482043613109e-20, 9.075843424189178e-18, 1.1529235742413045e-16, 1.9999999999999982, 2.0000000000000004]"
LiH,017,6,4,1.3322676295501878e-15,0.0,1.5543122344752192e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-1.4758921868153022e-16, -6.620974844084227e-17, -3.095697723305909e-17, 6.409910609894503e-22, 1.9999999999999984, 2.0]"
LiH,018,6,4,4.884981308350689e-15,4.0705123502748856e-20,2.6645352591003757e-15,1.1102230246251565e-16,0.0,0.0,0.0,0.0,PASS,"[-9.450475211974268e-17, 4.0705123502748856e-20, 9.211539706879852e-17, 2.9115416095955423e-16, 1.9999999999999976, 2.0000000000000027]"
LiH,019,6,4,3.9968028886505635e-15,3.025643327478845e-17,1.9984014443252818e-15,1.1102230246251565e-16,0.0,0.0,3.552713678800501e-15,0.0,PASS,"[-1.2255051850149998e-16, 3.025643327478845e-17, 8.637650792879408e-17, 2.4383908463445596e-16, 1.999999999999998, 1.9999999999999987]"
LiH,020,6,4,2.220446049250313e-15,2.0956710251117326e-20,2.220446049250313e-15,1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-1.821099163545139e-16, 2.0956710251117326e-20, 7.362366913776136e-18, 8.667458318493139e-17, 1.9999999999999996, 2.000000000000002]"
LiH,021,6,4,5.329070518200751e-15,4.6345788970037585e-20,3.552713678800501e-15,1.1102230246251565e-16,0.0,0.0,4.884981308350689e-15,0.0,PASS,"[-4.5055217497133585e-17, 4.6345788970037585e-20, 1.0948916790073553e-16, 2.2646978163749563e-16, 1.9999999999999964, 1.9999999999999978]"
