geometry_id,projector_residual_max,eigenvalue_distance_min,eigenvalue_distance_max,stored_transform_residual,root_residual,MO_density_residual,symmetry_residual,electron_trace_residual,status,saved_valence_indices,expected_valence_indices
001,7.549516567451064e-15,1.886443619327275e-18,6.8833827526759706e-15,0.0,0.0,0.0,2.220446049250313e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
002,1.3766765505351941e-14,2.1247500160882637e-16,8.215650382226158e-15,0.0,0.0,0.0,1.6653345369377368e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
003,1.509903313490213e-14,1.84275347199237e-18,7.993605777301127e-15,0.0,0.0,0.0,2.220446049250313e-16,1.7763568394002505e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
004,9.325873406851315e-15,6.236367850799288e-17,6.661338147750939e-15,0.0,0.0,0.0,1.4268100589909238e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
005,1.1102230246251565e-14,0.0,9.325873406851315e-15,0.0,0.0,0.0,1.5959455978986625e-16,2.1316282072803006e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
006,1.9984014443252818e-14,1.5993780071927743e-16,9.325873406851315e-15,0.0,0.0,0.0,1.942890293094024e-16,1.0658141036401503e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
007,9.325873406851315e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,3.8857805861880464e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
008,8.881784197001252e-15,3.881247975864522e-17,6.217248937900877e-15,0.0,0.0,0.0,3.3306690738754696e-16,0.0,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
009,9.325873406851315e-15,2.04863340297567e-17,8.659739592076221e-15,0.0,0.0,0.0,2.775557561562892e-16,7.105427357601002e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
010,1.021405182655144e-14,4.163653445406536e-17,7.105427357601002e-15,0.0,0.0,0.0,3.0140820395097023e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
011,1.3766765505351941e-14,9.331736508328005e-17,1.1102230246251565e-14,0.0,0.0,0.0,2.220446049250313e-16,2.4868995751603507e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
012,1.3322676295501878e-14,0.0,7.993605777301127e-15,0.0,0.0,0.0,3.3306690738754696e-16,1.0658141036401503e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
013,5.329070518200751e-15,4.440892098500626e-16,7.105427357601002e-15,0.0,0.0,0.0,3.3306690738754696e-16,1.0658141036401503e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
014,7.825771281000371e-15,1.0455361273603434e-16,6.217248937900877e-15,0.0,0.0,0.0,2.7755575615628933e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
015,7.993605777301127e-15,4.5618618669524784e-17,6.661338147750939e-15,0.0,0.0,0.0,5.165139149720943e-16,1.0658141036401503e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
016,9.325873406851315e-15,0.0,9.325873406851315e-15,0.0,0.0,0.0,2.3592239273284576e-16,7.105427357601002e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
017,1.509903313490213e-14,2.220446049250313e-16,7.549516567451064e-15,0.0,0.0,0.0,3.3306690738754696e-16,7.105427357601002e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
018,1.3766765505351941e-14,4.5340659627632957e-17,9.325873406851315e-15,0.0,0.0,0.0,2.220446049250313e-16,2.842170943040401e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
019,7.105427357601002e-15,7.316370480857902e-18,5.329070518200751e-15,0.0,0.0,0.0,2.2204460492503091e-16,1.0658141036401503e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
020,1.3322676295501878e-14,2.555731158153721e-16,9.769962616701378e-15,0.0,0.0,0.0,2.8731357570865868e-16,1.0658141036401503e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
021,4.440892098500626e-15,0.0,5.10702591327572e-15,0.0,0.0,0.0,2.220446049250313e-16,3.552713678800501e-15,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
022,7.549516567451064e-15,0.0,6.439293542825908e-15,0.0,0.0,0.0,1.6653345369377348e-16,0.0,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
023,1.1546319456101628e-14,8.688945820132945e-19,6.661338147750939e-15,0.0,0.0,0.0,6.66133814775094e-16,1.4210854715202004e-14,PASS,"[2, 6, 7, 8, 9, 10]","[2, 6, 7, 8, 9, 10]"
