geometry_id,full_AO_dimension,valence_shape,descriptor_qubit_dimension,selected_ao_indices,selected_ao_labels,core_ao_indices,core_ao_labels,raw_FE,saved_raw_FE,status,loader_block_vs_saved_P_L_block,loader_FE_vs_saved_raw_FE,saved_full_P_L_vs_full_AO_Lowdin_transform,loader_block_vs_full_transform_then_selection,loader_block_vs_saved_P_mu_P_munu_reconstruction
001,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.028062287803305663, 0.035962139238866486, 1.9999999999999936, 1.9999999999999984, 2.0000000000000004, 2.0000000000000018]","[0.028062287803305663, 0.035962139238866486, 1.9999999999999936, 1.9999999999999984, 2.0000000000000004, 2.0000000000000018]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
002,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.02833739212984887, 0.036121138329846314, 1.999999999999992, 1.999999999999997, 1.9999999999999973, 2.0000000000000027]","[0.02833739212984887, 0.036121138329846314, 1.999999999999992, 1.999999999999997, 1.9999999999999973, 2.0000000000000027]",PASS,0.0,0.0,0.0,0.0,5.551115123125783e-17
003,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.02860453656779248, 0.036274102666168595, 1.9999999999999958, 1.9999999999999978, 2.000000000000003, 2.000000000000006]","[0.02860453656779248, 0.036274102666168595, 1.9999999999999958, 1.9999999999999978, 2.000000000000003, 2.000000000000006]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
004,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.028863803128342136, 0.036421153576297716, 1.999999999999999, 1.9999999999999998, 2.000000000000001, 2.0000000000000018]","[0.028863803128342136, 0.036421153576297716, 1.999999999999999, 1.9999999999999998, 2.000000000000001, 2.0000000000000018]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
005,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.029115282614285753, 0.036562412962494406, 2.0000000000000018, 2.0000000000000036, 2.000000000000005, 2.0000000000000053]","[0.029115282614285753, 0.036562412962494406, 2.0000000000000018, 2.0000000000000036, 2.000000000000005, 2.0000000000000053]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
006,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.029359073803669977, 0.03669800313517824, 1.9999999999999978, 1.9999999999999987, 2.0, 2.000000000000001]","[0.029359073803669977, 0.03669800313517824, 1.9999999999999978, 1.9999999999999987, 2.0, 2.000000000000001]",PASS,0.0,0.0,0.0,0.0,1.6653345369377348e-16
007,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.029595282675464407, 0.03682804665385353, 1.9999999999999956, 1.9999999999999993, 2.0000000000000004, 2.000000000000001]","[0.029595282675464407, 0.03682804665385353, 1.9999999999999956, 1.9999999999999993, 2.0000000000000004, 2.000000000000001]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
008,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.02982402167637188, 0.03695266617469306, 1.9999999999999967, 1.9999999999999996, 2.0000000000000018, 2.0000000000000036]","[0.02982402167637188, 0.03695266617469306, 1.9999999999999967, 1.9999999999999996, 2.0000000000000018, 2.0000000000000036]",PASS,0.0,0.0,0.0,0.0,3.3306690738754696e-16
009,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.030045409027340986, 0.037071984305258265, 1.9999999999999942, 1.9999999999999978, 1.9999999999999998, 2.0000000000000004]","[0.030045409027340986, 0.037071984305258265, 1.9999999999999942, 1.9999999999999978, 1.9999999999999998, 2.0000000000000004]",PASS,0.0,0.0,0.0,0.0,2.7755575615628914e-16
010,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.030259568068861986, 0.03718612346619321, 1.9999999999999933, 1.9999999999999976, 1.9999999999999996, 2.0000000000000004]","[0.030259568068861986, 0.03718612346619321, 1.9999999999999933, 1.9999999999999976, 1.9999999999999996, 2.0000000000000004]",PASS,0.0,0.0,0.0,0.0,1.3183898417423734e-16
