molecule,geometry_id,q_A,record,error
N2,001,-0.07355392064141952,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/001.npz,
N2,002,-0.06848123645925264,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/002.npz,
N2,003,-0.06340855227708575,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/003.npz,
N2,004,-0.058335868094918863,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/004.npz,
N2,005,-0.05326318391275198,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/005.npz,
N2,006,-0.04819049973058531,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/006.npz,
N2,007,-0.043117815548418426,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/007.npz,
N2,008,-0.03804513136625154,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/008.npz,
N2,009,-0.03297244718408465,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/009.npz,
N2,010,-0.027899763001917766,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/010.npz,
N2,011,-0.02282707881975088,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/011.npz,
N2,012,-0.017754394637583992,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/012.npz,
N2,013,-0.012681710455417106,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/013.npz,
N2,014,-0.007609026273250219,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/014.npz,
N2,015,-0.0025363420910833323,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/015.npz,
N2,016,0.0025363420910835544,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/016.npz,
N2,017,0.007609026273250219,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/017.npz,
N2,018,0.012681710455417106,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/018.npz,
N2,019,0.017754394637583992,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/019.npz,
N2,020,0.02282707881975088,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/020.npz,
N2,021,0.027899763001917766,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/021.npz,
N2,022,0.03297244718408465,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/022.npz,
N2,023,0.03804513136625154,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/023.npz,
N2,024,0.043117815548418426,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/024.npz,
N2,025,0.04819049973058531,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/025.npz,
N2,026,0.05326318391275198,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/026.npz,
N2,027,0.058335868094918863,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/027.npz,
N2,028,0.06340855227708575,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/028.npz,
N2,029,0.06848123645925264,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/029.npz,
N2,030,0.07355392064141952,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t-copy/N2/030.npz,
