molecule,geometry_id,q_A,record,error
CO,001,-0.07738247822838762,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/001.npz,
CO,002,-0.07204575559194715,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/002.npz,
CO,003,-0.06670903295550668,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/003.npz,
CO,004,-0.06137231031906598,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/004.npz,
CO,005,-0.05603558768262551,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/005.npz,
CO,006,-0.05069886504618504,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/006.npz,
CO,007,-0.045362142409744566,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/007.npz,
CO,008,-0.04002541977330387,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/008.npz,
CO,009,-0.0346886971368634,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/009.npz,
CO,010,-0.029351974500422928,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/010.npz,
CO,011,-0.024015251863982456,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/011.npz,
CO,012,-0.018678529227541762,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/012.npz,
CO,013,-0.01334180659110129,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/013.npz,
CO,014,-0.008005083954660819,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/014.npz,
CO,015,-0.002668361318220347,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/015.npz,
CO,016,0.002668361318220347,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/016.npz,
CO,017,0.008005083954660819,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/017.npz,
CO,018,0.01334180659110129,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/018.npz,
CO,019,0.018678529227541762,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/019.npz,
CO,020,0.024015251863982456,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/020.npz,
CO,021,0.029351974500422928,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/021.npz,
CO,022,0.0346886971368634,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/022.npz,
CO,023,0.04002541977330387,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/023.npz,
CO,024,0.045362142409744566,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/024.npz,
CO,025,0.05069886504618504,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/025.npz,
CO,026,0.05603558768262551,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/026.npz,
CO,027,0.06137231031906598,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/027.npz,
CO,028,0.06670903295550668,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/028.npz,
CO,029,0.07204575559194715,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/029.npz,
CO,030,0.07738247822838762,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/CO/030.npz,
