molecule,geometry_id,q_A,record,error
H2S,001,-0.1255856989017472,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/001.npz,
H2S,002,-0.11692461621886818,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/002.npz,
H2S,003,-0.10826353353598894,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/003.npz,
H2S,004,-0.09960245085310993,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/004.npz,
H2S,005,-0.09094136817023069,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/005.npz,
H2S,006,-0.08228028548735167,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/006.npz,
H2S,007,-0.07361920280447243,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/007.npz,
H2S,008,-0.06495812012159341,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/008.npz,
H2S,009,-0.05629703743871417,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/009.npz,
H2S,010,-0.04763595475583515,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/010.npz,
H2S,011,-0.038974872072956135,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/011.npz,
H2S,012,-0.030313789390076895,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/012.npz,
H2S,013,-0.021652706707197877,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/013.npz,
H2S,014,-0.012991624024318638,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/014.npz,
H2S,015,-0.00433054134143962,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/015.npz,
H2S,016,0.00433054134143962,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/016.npz,
H2S,017,0.012991624024318638,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/017.npz,
H2S,018,0.021652706707197877,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/018.npz,
H2S,019,0.030313789390076895,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/019.npz,
H2S,020,0.038974872072956135,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/020.npz,
H2S,021,0.04763595475583515,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/021.npz,
H2S,022,0.05629703743871417,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/022.npz,
H2S,023,0.06495812012159341,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/023.npz,
H2S,024,0.07361920280447243,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/024.npz,
H2S,025,0.08228028548735167,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/025.npz,
H2S,026,0.09094136817023069,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/026.npz,
H2S,027,0.09960245085310993,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/027.npz,
H2S,028,0.10826353353598894,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/028.npz,
H2S,029,0.11692461621886796,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/029.npz,
H2S,030,0.1255856989017472,/Users/novaz/Desktop/qml2.0/results/descriptor/H2S/030.npz,
