molecule,point_index,basis,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,E_CAS_active_Ha,E_core_including_nuclear_Ha,E_nuclear_Ha,n_frozen_orbitals,n_active_orbitals,n_active_electrons,status,error
LiH,1,sto-3g,1.2627723698145548,-0.2480388808631253,-7.846905488627087,-7.863666397797438,-0.016760909170351113,-16.760909170351113,-1.1474380778457274,-6.7162283199517105,1.2571795762312554,1,5,2,PASS,
LiH,2,sto-3g,1.2798784995292531,-0.23093275114842693,-7.849365411671973,-7.866207549885629,-0.0168421382136561,-16.8421382136561,-1.1444686373249597,-6.721738912560669,1.2403768274440923,1,5,2,PASS,
LiH,3,sto-3g,1.2969846292439513,-0.21382662143372877,-7.851586254003153,-7.8685194149447515,-0.01693316094159858,-16.93316094159858,-1.1414066481066287,-6.727112766838123,1.2240173067320133,1,5,2,PASS,
LiH,4,sto-3g,1.3140907589586497,-0.1967204917190304,-7.853580012731602,-7.870614059360389,-0.017034046628787713,-17.034046628787713,-1.1382593566882013,-6.732354702672188,1.2080837049779107,1,5,2,PASS,
LiH,5,sto-3g,1.331196888673348,-0.179614362004332,-7.855358016458685,-7.872502875824975,-0.017144859366290177,-17.144859366290177,-1.1350335714902728,-6.737469304334702,1.1925596027662833,1,5,2,PASS,
LiH,6,sto-3g,1.3483030183880462,-0.16250823228963385,-7.8569309704792225,-7.8741966295102985,-0.01726565903107602,-17.26565903107602,-1.1317356923521285,-6.74246093715817,1.1774294139443238,1,5,2,PASS,
LiH,7,sto-3g,1.3654091481027446,-0.14540210257493547,-7.858308998577662,-7.875705500746038,-0.01739650216837596,-17.39650216837596,-1.128371738024697,-6.747333762721341,1.1626783334254773,1,5,2,PASS,
LiH,8,sto-3g,1.3825152778174428,-0.1282959728602373,-7.859501681626981,-7.877039124418992,-0.01753744279201097,-17.53744279201097,-1.1249473717311158,-6.7520917526878765,1.1482922888680216,1,5,2,PASS,
LiH,9,sto-3g,1.3996214075321411,-0.11118984314553892,-7.860518093203393,-7.878206626311631,-0.01768853310823726,-17.68853310823726,-1.1214679248897506,-6.75673870142188,1.1342578958971403,1,5,2,PASS,
LiH,10,sto-3g,1.4167275372468395,-0.09408371343084054,-7.861366832428312,-7.879216656596697,-0.01784982416838421,-17.84982416838421,-1.1179384191069932,-6.761278237489703,1.1205624165710002,1,5,2,PASS,
LiH,11,sto-3g,1.4338336669615377,-0.07697758371614238,-7.862056054245256,-7.880077420700788,-0.018021366455531762,-18.021366455531762,-1.11436358655419,-6.765713834146598,1.1071937208199096,1,5,2,PASS,
LiH,12,sto-3g,1.450939796676236,-0.059871454001444,-7.862593497331795,-7.880796707742409,-0.018203210410614012,-18.203210410614012,-1.1107478888443172,-6.770048818898092,1.0941402506131983,1,5,2,PASS,
LiH,13,sto-3g,1.4680459263909342,-0.04276532428674584,-7.862986509838548,-7.88138191674128,-0.01839540690273278,-18.39540690273278,-1.1070955345216804,-6.7742863822196,1.0813909866313318,1,5,2,PASS,
LiH,14,sto-3g,1.4851520561056326,-0.02565919457204746,-7.863242073136501,-7.8818400807851585,-0.0185980076486576,-18.5980076486576,-1.1034104952727235,-6.778429585512435,1.068935417241267,1,5,2,PASS,
LiH,15,sto-3g,1.502258185820331,-0.00855306485734908,-7.863366823743038,-7.882177889328925,-0.01881106558588641,-18.81106558588641,-1.0996965209602703,-6.7824813683686545,1.056763509591465,1,5,2,PASS,
LiH,16,sto-3g,1.5193643155350292,0.00855306485734908,-7.8633670735853745,-7.8824017087889935,-0.019034635203619032,-19.034635203619032,-1.095957153575963,-6.786444555213031,1.0448656826595053,1,5,2,PASS,
LiH,17,sto-3g,1.5364704452497275,0.02565919457204746,-7.863248828748517,-7.882517601583936,-0.019268772835419057,-19.268772835419057,-1.0921957401986715,-6.790321861385265,1.033232782100129,1,5,2,PASS,
LiH,18,sto-3g,1.553576574964426,0.04276532428674584,-7.86301780684255,-7.882531343759947,-0.019513536917396657,-19.513536917396657,-1.0884154450391046,-6.794115898720842,1.0218560567549444,1,5,2,PASS,
LiH,19,sto-3g,1.570682704679124,0.059871454001444,-7.862679453113094,-7.882448441328107,-0.01976898821501294,-19.76898821501294,-1.0846192606438638,-6.797829180684243,1.0107271366971078,1,5,2,PASS,
LiH,20,sto-3g,1.5877888343938225,0.07697758371614238,-7.862238955407887,-7.882274145429635,-0.020035190021748583,-20.035190021748583,-1.080810018326087,-6.801464127103548,0.9998380126952331,1,5,2,PASS,
LiH,21,sto-3g,1.6048949641085208,0.09408371343084077,-7.861701258101523,-7.882013466433766,-0.020312208332242676,-20.312208332242676,-1.0769903978833826,-6.805023068550383,0.9891810169906256,1,5,2,PASS,
LiH,22,sto-3g,1.622001093823219,0.11118984314553892,-7.861071075071287,-7.881671187063703,-0.02060011199241618,-20.60011199241618,-1.0731629366585214,-6.808508250405182,0.9787488052908946,1,5,2,PASS,
LiH,23,sto-3g,1.6391072235379174,0.1282959728602373,-7.860352901807693,-7.881251874636477,-0.020898972828783613,-20.898972828783613,-1.0693300379935673,-6.8119218366429095,0.9685343398910815,1,5,2,PASS,
LiH,24,sto-3g,1.6562133532526158,0.1454021025749357,-7.859551026734975,-7.88075989249383,-0.02120886575885539,-21.20886575885539,-1.0654939791235423,-6.815265913370288,0.9585308738407812,1,5,2,PASS,
LiH,25,sto-3g,1.673319482967314,0.16250823228963385,-7.858669541809688,-7.88019941069414,-0.02152986888445252,-21.52986888445252,-1.0616569185517655,-6.818542492142375,0.9487319360824118,1,5,2,PASS,
LiH,26,sto-3g,1.690425612682012,0.179614362004332,-7.857712352458455,-7.879574416027605,-0.021862063569150436,-21.862063569150436,-1.0578209029458634,-6.821753513081742,0.9391313174918348,1,5,2,PASS,
LiH,27,sto-3g,1.7075317423967105,0.1967204917190304,-7.856683186909647,-7.878888721411046,-0.02220553450139917,-22.20553450139917,-1.0539878735897927,-6.824900847821254,0.9297230577580498,1,5,2,PASS,
LiH,28,sto-3g,1.7246378721114088,0.21382662143372877,-7.855585604968732,-7.878145974712777,-0.022560369744045516,-22.560369744045516,-1.0501596724245426,-6.8279863022882346,0.9205014330437065,1,5,2,PASS,
LiH,29,sto-3g,1.741744001826107,0.23093275114842693,-7.854423006281625,-7.8773496670528385,-0.022926660771213747,-22.926660771213747,-1.046338047707776,-6.8310116193450625,0.9114609443727523,1,5,2,PASS,
LiH,30,sto-3g,1.7588501315408054,0.2480388808631253,-7.853198638126461,-7.87650314061955,-0.023304502493089352,-23.304502493089352,-1.0425246593200184,-6.833978481299532,0.9025963066957131,1,5,2,PASS,
BeH2,1,sto-3g,1.1486075019376127,-0.1419308970542672,-15.540923032932644,-15.56937481979936,-0.028451786866716233,-28.451786866716233,-4.20347126280258,-11.36590355699678,3.9160516409932975,1,6,4,PASS,
BeH2,2,sto-3g,1.1583958396654932,-0.13214255932638674,-15.543875009728994,-15.572582679467391,-0.028707669738397,-28.707669738397,-4.189143340575885,-11.383439338891506,3.882961366745652,1,6,4,PASS,
BeH2,3,sto-3g,1.1681841773933737,-0.12235422159850629,-15.546562811207462,-15.57553558495015,-0.028972773742687252,-28.972773742687252,-4.17485368007771,-11.400681904872439,3.850425626254091,1,6,4,PASS,
BeH2,4,sto-3g,1.1779725151212543,-0.1125658838706256,-15.548995907703247,-15.578242966902218,-0.02924705919897086,-29.24705919897086,-4.160604473886272,-11.417638493015946,3.818430595859021,1,6,4,PASS,
BeH2,5,sto-3g,1.1877608528491348,-0.10277754614274515,-15.551183418337654,-15.580713912360398,-0.02953049402274388,-29.53049402274388,-4.146397806547581,-11.434316105812817,3.786962907583991,1,6,4,PASS,
BeH2,6,sto-3g,1.1975491905770153,-0.09298920841486469,-15.553134124895351,-15.582957178365035,-0.02982305346968417,-29.82305346968417,-4.132235658526607,-11.450721519838428,3.756009630512736,1,6,4,PASS,
BeH2,7,sto-3g,1.2073375283048957,-0.08320087068698423,-15.554856485086692,-15.584981204972516,-0.030124719885824547,-30.124719885824547,-4.118119910037416,-11.4668612949351,3.725558253072122,1,6,4,PASS,
BeH2,8,sto-3g,1.2171258660327762,-0.07341253295910377,-15.556358645231645,-15.586794127695669,-0.030435482464023167,-30.435482464023167,-4.104052344760948,-11.48274178293472,3.6955966661699993,1,6,4,PASS,
BeH2,9,sto-3g,1.2269142037606566,-0.06362419523122331,-15.557648452399565,-15.588403789406224,-0.030755337006658223,-30.755337006658223,-4.090034653457815,-11.498369135948408,3.6661131471402055,1,6,4,PASS,
BeH2,10,sto-3g,1.2367025414885373,-0.05383585750334263,-15.558733466037383,-15.589817751731854,-0.031084285694470637,-31.084285694470637,-4.07606843748334,-11.513749314248514,3.6370963444500135,1,6,4,PASS,
BeH2,11,sto-3g,1.2464908792164178,-0.044047519775462174,-15.559620969115391,-15.591043305977244,-0.03142233686185314,-31.42233686185314,-4.062155212210973,-11.528888093766271,3.608535263128106,1,6,4,PASS,
BeH2,12,sto-3g,1.2562792169442982,-0.034259182047581715,-15.560317978819171,-15.592087483597453,-0.031769504778282,-31.769504778282,-4.048296410369943,-11.54379107322751,3.5804192508737773,1,6,4,PASS,
