molecule,basis,selected_n,point_index,bond_length_A,q_A,E_re_Ha,E_RHF_Ha,delta_E_RHF_Ha,status,scf_converged,internal_stable,orbital_gradient_norm_Eh,failure
BeH2,sto-3g,1,1,1.1486075210698299,-0.1419308999281701,-15.561352807782086,-15.54092303896709,0.020429768814995697,PASS,True,True,9.426820805801264e-13,
BeH2,sto-3g,1,2,1.1583958589959107,-0.1321425620020893,-15.561352807782086,-15.543875015294624,0.01747779248746184,PASS,True,True,1.3200412478164037e-12,
BeH2,sto-3g,1,3,1.1681841969219913,-0.12235422407600871,-15.561352807782086,-15.546562816312676,0.014789991469410069,PASS,True,True,1.2151930541204859e-12,
BeH2,sto-3g,1,4,1.177972534848072,-0.11256588614992791,-15.561352807782086,-15.548995912356306,0.012356895425780223,PASS,True,True,1.1143204823554135e-12,
BeH2,sto-3g,1,5,1.1877608727741527,-0.10277754822384733,-15.561352807782086,-15.551183422546572,0.010169385235514028,PASS,True,True,1.0193155496170275e-12,
BeH2,sto-3g,1,6,1.1975492107002335,-0.09298921029776652,-15.561352807782086,-15.553134128668116,0.008218679113969785,PASS,True,True,9.351582851626522e-13,
BeH2,sto-3g,1,7,1.207337548626314,-0.08320087237168594,-15.561352807782086,-15.55485648843112,0.006496319350965507,PASS,True,True,8.552903317880806e-13,
BeH2,sto-3g,1,8,1.2171258865523948,-0.07341253444560514,-15.561352807782086,-15.55635864815539,0.004994159626695804,PASS,True,True,7.807444829941828e-13,
BeH2,sto-3g,1,9,1.2269142244784754,-0.06362419651952456,-15.561352807782086,-15.557648454910193,0.0037043528718925245,PASS,True,True,7.131657102376872e-13,
BeH2,sto-3g,1,10,1.2367025624045562,-0.05383585859344375,-15.561352807782086,-15.55873346814231,0.00261933963977512,PASS,True,True,6.494213837036556e-13,
BeH2,sto-3g,1,11,1.2464909003306368,-0.04404752066736317,-15.561352807782086,-15.559620970821877,0.0017318369602090655,PASS,True,True,5.952016548559668e-13,
BeH2,sto-3g,1,12,1.2562792382567176,-0.03425918274128237,-15.561352807782086,-15.560317980134364,0.00103482764772167,PASS,True,True,5.395951078893828e-13,
BeH2,sto-3g,1,13,1.2660675761827982,-0.024470844815201787,-15.561352807782086,-15.560831257742734,0.0005215500393518369,PASS,True,True,4.951271376330586e-13,
BeH2,sto-3g,1,14,1.275855914108879,-0.014682506889120983,-15.561352807782086,-15.561167319644214,0.00018548813787155893,PASS,True,True,4.4923877540468646e-13,
BeH2,sto-3g,1,15,1.2856442520349596,-0.004894168963040402,-15.561352807782086,-15.561332445642943,2.036213914280438e-05,PASS,True,True,4.061105955083765e-13,
BeH2,sto-3g,1,16,1.2954325899610404,0.004894168963040402,-15.561352807782086,-15.561332688457734,2.01193243523079e-05,PASS,True,True,3.6929897518538723e-13,
BeH2,sto-3g,1,17,1.305220927887121,0.014682506889120983,-15.561352807782086,-15.561173882483494,0.00017892529859153683,PASS,True,True,3.3813377975567627e-13,
BeH2,sto-3g,1,18,1.3150092658132018,0.024470844815201787,-15.561352807782086,-15.56086165222222,0.0004911555598656747,PASS,True,True,3.0559699179885604e-13,
BeH2,sto-3g,1,19,1.3247976037392823,0.03425918274128237,-15.561352807782086,-15.560401420398719,0.000951387383366864,PASS,True,True,2.7905602718430526e-13,
BeH2,sto-3g,1,20,1.3345859416653632,0.04404752066736317,-15.561352807782086,-15.559798415774997,0.001554392007088623,PASS,True,True,2.5126958243879007e-13,
BeH2,sto-3g,1,21,1.3443742795914437,0.05383585859344375,-15.561352807782086,-15.559057680675737,0.0022951271063487155,PASS,True,True,2.2804290857573504e-13,
BeH2,sto-3g,1,22,1.3541626175175245,0.06362419651952456,-15.561352807782086,-15.558184078236124,0.0031687295459619236,PASS,True,True,2.0763328753140126e-13,
BeH2,sto-3g,1,23,1.3639509554436051,0.07341253444560514,-15.561352807782086,-15.557182299382854,0.0041705083992322756,PASS,True,True,1.8886972033859764e-13,
BeH2,sto-3g,1,24,1.373739293369686,0.08320087237168594,-15.561352807782086,-15.556056869558212,0.005295938223873975,PASS,True,True,1.6974001110413673e-13,
BeH2,sto-3g,1,25,1.3835276312957665,0.09298921029776652,-15.561352807782086,-15.5548121551961,0.006540652585986351,PASS,True,True,1.5383416774631215e-13,
BeH2,sto-3g,1,26,1.3933159692218473,0.10277754822384733,-15.561352807782086,-15.553452369958205,0.00790043782388139,PASS,True,True,1.3893881939094864e-13,
BeH2,sto-3g,1,27,1.4031043071479279,0.11256588614992791,-15.561352807782086,-15.55198158073863,0.009371227043455832,PASS,True,True,1.2686933100108602e-13,
BeH2,sto-3g,1,28,1.4128926450740087,0.12235422407600871,-15.561352807782086,-15.55040371344415,0.010949094337936671,PASS,True,True,1.1596194451268547e-13,
BeH2,sto-3g,1,29,1.4226809830000895,0.13214256200208951,-15.561352807782086,-15.548722558557305,0.012630249224780954,PASS,True,True,1.0672008495499705e-13,
BeH2,sto-3g,1,30,1.43246932092617,0.1419308999281701,-15.561352807782086,-15.546941776488701,0.014411031293384724,PASS,True,True,9.512730166236554e-14,
