molecule,basis,selected_n,point_index,bond_length_A,q_A,E_re_Ha,E_RHF_Ha,delta_E_RHF_Ha,status,scf_converged,internal_stable,orbital_gradient_norm_Eh,failure
HF,sto-3g,1,1,0.801790953348378,-0.15367174526162197,-98.57284734716009,-98.5307719511332,0.042075396026888257,PASS,True,True,9.488426475170818e-13,
HF,sto-3g,1,2,0.8123890047457313,-0.14307369386426871,-98.57284734716009,-98.53722266111241,0.035624686047682985,PASS,True,True,3.935955780902679e-15,
HF,sto-3g,1,3,0.8229870561430845,-0.13247564246691546,-98.57284734716009,-98.54300636117621,0.029840985983881296,PASS,True,True,2.5285392500284976e-15,
HF,sto-3g,1,4,0.8335851075404377,-0.12187759106956231,-98.57284734716009,-98.54816362527447,0.024683721885622845,PASS,True,True,3.445657700155024e-15,
HF,sto-3g,1,5,0.844183158937791,-0.11127953967220905,-98.57284734716009,-98.55273226906885,0.020115078091237137,PASS,True,True,4.827533195352473e-15,
HF,sto-3g,1,6,0.8547812103351442,-0.10068148827485579,-98.57284734716009,-98.55674759073393,0.016099756426157796,PASS,True,True,4.414595415511397e-15,
HF,sto-3g,1,7,0.8653792617324975,-0.09008343687750253,-98.57284734716009,-98.56024258873789,0.012604758422199325,PASS,True,True,3.917715743016349e-15,
HF,sto-3g,1,8,0.8759773131298507,-0.07948538548014927,-98.57284734716009,-98.5632481583459,0.009599188814192416,PASS,True,True,1.4104809056135538e-15,
HF,sto-3g,1,9,0.886575364527204,-0.06888733408279601,-98.57284734716009,-98.56579326853112,0.007054078628968341,PASS,True,True,2.6639375131249637e-15,
HF,sto-3g,1,10,0.8971734159245571,-0.05828928268544287,-98.57284734716009,-98.56790512090173,0.0049422262583647125,PASS,True,True,5.444055480843951e-15,
HF,sto-3g,1,11,0.9077714673219104,-0.04769123128808961,-98.57284734716009,-98.56960929219986,0.003238054960235104,PASS,True,True,1.2612441207968168e-15,
HF,sto-3g,1,12,0.9183695187192636,-0.03709317989073635,-98.57284734716009,-98.57092986184449,0.0019174853156016525,PASS,True,True,3.528930796848768e-15,
HF,sto-3g,1,13,0.9289675701166169,-0.02649512849338309,-98.57284734716009,-98.57188952592935,0.0009578212307417289,PASS,True,True,2.7365530076027654e-15,
HF,sto-3g,1,14,0.9395656215139702,-0.015897077096029832,-98.57284734716009,-98.57250969900664,0.00033764815344738963,PASS,True,True,3.3752868183154706e-15,
HF,sto-3g,1,15,0.9501636729113234,-0.005299025698676574,-98.57284734716009,-98.57281060491054,3.674224954863803e-05,PASS,True,True,7.787299276970765e-16,
HF,sto-3g,1,16,0.9607617243086766,0.005299025698676574,-98.57284734716009,-98.57281135779867,3.598936142168441e-05,PASS,True,True,2.9123249591217697e-15,
HF,sto-3g,1,17,0.9713597757060298,0.015897077096029832,-98.57284734716009,-98.57253003450964,0.0003173126504520951,PASS,True,True,2.0162421565371955e-15,
HF,sto-3g,1,18,0.9819578271033831,0.02649512849338309,-98.57284734716009,-98.57198373925344,0.0008636079066519642,PASS,True,True,2.424823856612611e-15,
HF,sto-3g,1,19,0.9925558785007363,0.03709317989073635,-98.57284734716009,-98.57118866157383,0.0016586855862641414,PASS,True,True,3.3167926128127904e-15,
HF,sto-3g,1,20,1.0031539298980896,0.04769123128808961,-98.57284734716009,-98.57016012844346,0.0026872187166304684,PASS,True,True,4.018302805306864e-15,
HF,sto-3g,1,21,1.0137519812954428,0.058289282685442756,-98.57284734716009,-98.56891265126995,0.003934695890137618,PASS,True,True,1.77036342809078e-15,
HF,sto-3g,1,22,1.0243500326927961,0.06888733408279613,-98.57284734716009,-98.56745996852575,0.005387378634338802,PASS,True,True,2.0943946740883577e-15,
HF,sto-3g,1,23,1.0349480840901493,0.07948538548014927,-98.57284734716009,-98.56581508462875,0.007032262531339484,PASS,True,True,1.258444572459237e-15,
HF,sto-3g,1,24,1.0455461354875024,0.09008343687750242,-98.57284734716009,-98.56399030564549,0.008857041514602315,PASS,True,True,1.4485112601759372e-15,
HF,sto-3g,1,25,1.0561441868848558,0.10068148827485579,-98.57284734716009,-98.56199727230678,0.01085007485330891,PASS,True,True,1.0900102857573633e-15,
HF,sto-3g,1,26,1.066742238282209,0.11127953967220894,-98.57284734716009,-98.55984699077402,0.013000356386072554,PASS,True,True,1.9036272675890374e-15,
HF,sto-3g,1,27,1.0773402896795623,0.12187759106956231,-98.57284734716009,-98.5575498615318,0.015297485628295249,PASS,True,True,4.013984077449798e-15,
HF,sto-3g,1,28,1.0879383410769154,0.13247564246691546,-98.57284734716009,-98.55511570672488,0.017731640435215468,PASS,True,True,1.7879230305748504e-15,
HF,sto-3g,1,29,1.0985363924742688,0.14307369386426882,-98.57284734716009,-98.55255379621205,0.02029355094803975,PASS,True,True,5.522466713721857e-15,
HF,sto-3g,1,30,1.109134443871622,0.15367174526162197,-98.57284734716009,-98.5498728725585,0.02297447460159674,PASS,True,True,2.9086648916593174e-15,
