molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_re_Ha,E_RHF_minus_E_re_Ha,E_RHF_relative_mHa
LiH,1,1.262772864212423,-0.2480389888195771,-7.846905563298792,-7.863382128921103,0.0164765656223107,16.4765656223107
LiH,2,1.2798790013723937,-0.2309328516596063,-7.849365480271401,-7.863382128921103,0.014016648649701757,14.016648649701757
LiH,3,1.2969851385323645,-0.21382671449963553,-7.851586316684363,-7.863382128921103,0.011795812236739422,11.795812236739422
LiH,4,1.3140912756923355,-0.19672057733966453,-7.853580069643868,-7.863382128921103,0.009802059277235209,9.802059277235209
LiH,5,1.3311974128523063,-0.17961444017969375,-7.85535806774674,-7.863382128921103,0.008024061174363162,8.024061174363162
LiH,6,1.348303550012277,-0.16250830301972297,-7.856931016283436,-7.863382128921103,0.006451112637666512,6.451112637666512
LiH,7,1.3654096871722479,-0.14540216585975219,-7.858309039034327,-7.863382128921103,0.0050730898867756835,5.0730898867756835
LiH,8,1.3825158243322189,-0.12829602869978118,-7.8595017168684755,-7.863382128921103,0.0038804120526272357,3.8804120526272357
LiH,9,1.3996219614921896,-0.1111898915398104,-7.860518123358377,-7.863382128921103,0.0028640055627260352,2.8640055627260352
LiH,10,1.4167280986521604,-0.09408375437983962,-7.861366857621933,-7.863382128921103,0.0020152712991698962,2.0152712991698962
LiH,11,1.4338342358121312,-0.07697761721986884,-7.86205607459927,-7.863382128921103,0.0013260543218329701,1.3260543218329701
LiH,12,1.4509403729721022,-0.05987148005989784,-7.862593512964772,-7.863382128921103,0.0007886159563303963,0.7886159563303963
LiH,13,1.468046510132073,-0.04276534289992706,-7.862986520865992,-7.863382128921103,0.000395608055110408,0.395608055110408
LiH,14,1.4851526472920438,-0.02565920573995628,-7.863242079670977,-7.863382128921103,0.0001400492501257844,0.1400492501257844
LiH,15,1.5022587844520146,-0.008553068579985501,-7.863366825894265,-7.863382128921103,1.530302683772078e-05,0.015303026837720779
LiH,16,1.5193649216119853,0.008553068579985279,-7.8633670714604085,-7.863382128921103,1.5057460694301028e-05,0.015057460694301028
LiH,17,1.5364710587719563,0.02565920573995628,-7.863248822451761,-7.863382128921103,0.00013330646934139878,0.13330646934139878
LiH,18,1.5535771959319271,0.04276534289992706,-7.863017796475906,-7.863382128921103,0.0003643324451969576,0.3643324451969576
LiH,19,1.570683333091898,0.05987148005989784,-7.862679438776034,-7.863382128921103,0.0007026901450686296,0.7026901450686296
LiH,20,1.587789470251869,0.07697761721986884,-7.862238937197494,-7.863382128921103,0.0011431917236084388,1.1431917236084388
LiH,21,1.6048956074118397,0.09408375437983962,-7.861701236112606,-7.863382128921103,0.0016808928084968144,1.6808928084968144
LiH,22,1.6220017445718105,0.1111898915398104,-7.861071049396425,-7.863382128921103,0.002311079524678128,2.311079524678128
LiH,23,1.6391078817317812,0.12829602869978118,-7.860352872537257,-7.863382128921103,0.0030292563838454356,3.0292563838454356
LiH,24,1.6562140188917522,0.14540216585975219,-7.859550993957266,-7.863382128921103,0.003831134963836469,3.831134963836469
LiH,25,1.673320156051723,0.16250830301972297,-7.858669505610947,-7.863382128921103,0.004712623310155983,4.712623310155983
LiH,26,1.6904262932116938,0.17961444017969375,-7.85771231292287,-7.863382128921103,0.005669815998232686,5.669815998232686
LiH,27,1.7075324303716646,0.19672057733966453,-7.856683144119477,-7.863382128921103,0.006698984801626118,6.698984801626118
LiH,28,1.7246385675316356,0.21382671449963553,-7.855585559004294,-7.863382128921103,0.007796569916808771,7.796569916808771
LiH,29,1.7417447046916064,0.2309328516596063,-7.854422957221373,-7.863382128921103,0.008959171699729929,8.959171699729929
LiH,30,1.7588508418515771,0.2480389888195771,-7.853198586047023,-7.863382128921103,0.01018354287407952,10.18354287407952
BeH2,1,1.1486075210698299,-0.1419308999281701,-15.54092303896709,-15.561352807782086,0.020429768814995697,20.429768814995697
BeH2,2,1.1583958589959107,-0.1321425620020893,-15.543875015294624,-15.561352807782086,0.01747779248746184,17.47779248746184
BeH2,3,1.1681841969219913,-0.12235422407600871,-15.546562816312676,-15.561352807782086,0.014789991469410069,14.789991469410069
BeH2,4,1.177972534848072,-0.11256588614992791,-15.548995912356306,-15.561352807782086,0.012356895425780223,12.356895425780223
BeH2,5,1.1877608727741527,-0.10277754822384733,-15.551183422546572,-15.561352807782086,0.010169385235514028,10.169385235514028
BeH2,6,1.1975492107002335,-0.09298921029776652,-15.553134128668116,-15.561352807782086,0.008218679113969785,8.218679113969785
BeH2,7,1.207337548626314,-0.08320087237168594,-15.55485648843112,-15.561352807782086,0.006496319350965507,6.496319350965507
BeH2,8,1.2171258865523948,-0.07341253444560514,-15.55635864815539,-15.561352807782086,0.004994159626695804,4.994159626695804
BeH2,9,1.2269142244784754,-0.06362419651952456,-15.557648454910193,-15.561352807782086,0.0037043528718925245,3.7043528718925245
BeH2,10,1.2367025624045562,-0.05383585859344375,-15.55873346814231,-15.561352807782086,0.00261933963977512,2.61933963977512
BeH2,11,1.2464909003306368,-0.04404752066736317,-15.559620970821877,-15.561352807782086,0.0017318369602090655,1.7318369602090655
BeH2,12,1.2562792382567176,-0.03425918274128237,-15.560317980134364,-15.561352807782086,0.00103482764772167,1.03482764772167
BeH2,13,1.2660675761827982,-0.024470844815201787,-15.560831257742734,-15.561352807782086,0.0005215500393518369,0.5215500393518369
BeH2,14,1.275855914108879,-0.014682506889120983,-15.561167319644214,-15.561352807782086,0.00018548813787155893,0.18548813787155893
BeH2,15,1.2856442520349596,-0.004894168963040402,-15.561332445642943,-15.561352807782086,2.036213914280438e-05,0.02036213914280438
BeH2,16,1.2954325899610404,0.004894168963040402,-15.561332688457734,-15.561352807782086,2.01193243523079e-05,0.0201193243523079
BeH2,17,1.305220927887121,0.014682506889120983,-15.561173882483494,-15.561352807782086,0.00017892529859153683,0.17892529859153683
BeH2,18,1.3150092658132018,0.024470844815201787,-15.56086165222222,-15.561352807782086,0.0004911555598656747,0.4911555598656747
BeH2,19,1.3247976037392823,0.03425918274128237,-15.560401420398719,-15.561352807782086,0.000951387383366864,0.951387383366864
BeH2,20,1.3345859416653632,0.04404752066736317,-15.559798415774997,-15.561352807782086,0.001554392007088623,1.554392007088623
BeH2,21,1.3443742795914437,0.05383585859344375,-15.559057680675737,-15.561352807782086,0.0022951271063487155,2.2951271063487155
BeH2,22,1.3541626175175245,0.06362419651952456,-15.558184078236124,-15.561352807782086,0.0031687295459619236,3.1687295459619236
BeH2,23,1.3639509554436051,0.07341253444560514,-15.557182299382854,-15.561352807782086,0.0041705083992322756,4.170508399232276
BeH2,24,1.373739293369686,0.08320087237168594,-15.556056869558212,-15.561352807782086,0.005295938223873975,5.295938223873975
BeH2,25,1.3835276312957665,0.09298921029776652,-15.5548121551961,-15.561352807782086,0.006540652585986351,6.540652585986351
BeH2,26,1.3933159692218473,0.10277754822384733,-15.553452369958205,-15.561352807782086,0.00790043782388139,7.90043782388139
BeH2,27,1.4031043071479279,0.11256588614992791,-15.55198158073863,-15.561352807782086,0.009371227043455832,9.371227043455832
BeH2,28,1.4128926450740087,0.12235422407600871,-15.55040371344415,-15.561352807782086,0.010949094337936671,10.949094337936671
BeH2,29,1.4226809830000895,0.13214256200208951,-15.548722558557305,-15.561352807782086,0.012630249224780954,12.630249224780954
BeH2,30,1.43246932092617,0.1419308999281701,-15.546941776488701,-15.561352807782086,0.014411031293384724,14.411031293384724
H2O,1,0.8766819816463665,-0.11272719473888337,-74.93059529602398,-74.96590119229926,0.03530589627527547,35.30589627527547
H2O,2,0.8844562709387033,-0.10495290544654656,-74.93578587880853,-74.96590119229926,0.03011531349072527,30.11531349072527
H2O,3,0.8922305602310401,-0.09717861615420975,-74.94049097171276,-74.96590119229926,0.025410220586493892,25.410220586493892
H2O,4,0.9000048495233768,-0.08940432686187305,-74.94473168236937,-74.96590119229926,0.02116950992989075,21.16950992989075
H2O,5,0.9077791388157136,-0.08163003756953624,-74.94852811124593,-74.96590119229926,0.01737308105332147,17.37308105332147
H2O,6,0.9155534281080504,-0.07385574827719943,-74.95189941102619,-74.96590119229926,0.014001781273066172,14.001781273066172
H2O,7,0.9233277174003872,-0.06608145898486262,-74.95486384231535,-74.96590119229926,0.011037349983908484,11.037349983908484
H2O,8,0.9311020066927239,-0.05830716969252592,-74.95743882584242,-74.96590119229926,0.008462366456839732,8.462366456839732
H2O,9,0.9388762959850607,-0.050532880400189106,-74.95964099132408,-74.96590119229926,0.006260200975177099,6.260200975177099
H2O,10,0.9466505852773975,-0.042758591107852295,-74.96148622315772,-74.96590119229926,0.004414969141535607,4.414969141535607
H2O,11,0.9544248745697343,-0.034984301815515484,-74.96298970310141,-74.96590119229926,0.002911489197842343,2.911489197842343
H2O,12,0.962199163862071,-0.027210012523178784,-74.96416595010471,-74.96590119229926,0.0017352421945417973,1.7352421945417973
H2O,13,0.9699734531544079,-0.019435723230841973,-74.96502885743963,-74.96590119229926,0.0008723348596220148,0.8723348596220148
H2O,14,0.9777477424467447,-0.011661433938505161,-74.96559172728891,-74.96590119229926,0.00030946501034634366,0.30946501034634366
H2O,15,0.9855220317390815,-0.00388714464616835,-74.96586730293654,-74.96590119229926,3.3889362711647664e-05,0.033889362711647664
H2O,16,0.9932963210314183,0.003887144646168461,-74.96586779870815,-74.96590119229926,3.3393591110097987e-05,0.033393591110097987
H2O,17,1.001070610323755,0.011661433938505161,-74.96560492779813,-74.96590119229926,0.00029626450113084957,0.29626450113084957
H2O,18,1.0088448996160917,0.01943572323084186,-74.96508992812328,-74.96590119229926,0.0008112641759794315,0.8112641759794315
H2O,19,1.0166191889084286,0.027210012523178784,-74.96433358633298,-74.96590119229926,0.0015676059662723674,1.5676059662723674
H2O,20,1.0243934782007653,0.034984301815515484,-74.96334626010272,-74.96590119229926,0.0025549321965314675,2.5549321965314675
H2O,21,1.0321677674931022,0.042758591107852406,-74.96213789883434,-74.96590119229926,0.003763293464913886,3.763293464913886
H2O,22,1.039942056785439,0.050532880400189106,-74.96071806288045,-74.96590119229926,0.005183129418810495,5.183129418810495
H2O,23,1.0477163460777756,0.058307169692525807,-74.95909594140201,-74.96590119229926,0.006805250897244264,6.805250897244264
H2O,24,1.0554906353701126,0.06608145898486273,-74.95728036897134,-74.96590119229926,0.008620823327916582,8.620823327916582
H2O,25,1.0632649246624493,0.07385574827719943,-74.95527984101592,-74.96590119229926,0.010621351283333524,10.621351283333524
H2O,26,1.0710392139547862,0.08163003756953635,-74.95310252820339,-74.96590119229926,0.012798664095868162,12.798664095868162
H2O,27,1.0788135032471229,0.08940432686187305,-74.95075628985705,-74.96590119229926,0.015144902442202124,15.144902442202124
