molecule,basis,selected_n,point_index,bond_length_A,q_A,E_re_Ha,E_RHF_Ha,delta_E_RHF_Ha,status,scf_converged,internal_stable,orbital_gradient_norm_Eh,failure
CO,sto-3g,1,1,1.0680981976887212,-0.07738247826527878,-111.22544951413585,-111.20558784136324,0.019861672772606198,PASS,True,True,9.609456463252957e-13,
CO,sto-3g,1,2,1.0734349203277058,-0.07204575562629412,-111.22544951413585,-111.20843337032042,0.017016143815425266,PASS,True,True,6.1596314429606226e-15,
CO,sto-3g,1,3,1.0787716429666907,-0.06670903298730924,-111.22544951413585,-111.2110301561716,0.014419357964243318,PASS,True,True,1.1194259009404378e-14,
CO,sto-3g,1,4,1.0841083656056754,-0.06137231034832458,-111.22544951413585,-111.21338604596569,0.012063468170154579,PASS,True,True,9.45575770227176e-15,
CO,sto-3g,1,5,1.0894450882446602,-0.056035587709339696,-111.22544951413585,-111.21550865656897,0.009940857566874683,PASS,True,True,4.243110715081051e-15,
CO,sto-3g,1,6,1.094781810883645,-0.05069886507035504,-111.22544951413585,-111.21740538198758,0.008044132148270933,PASS,True,True,9.798967060748326e-15,
CO,sto-3g,1,7,1.1001185335226296,-0.04536214243137038,-111.22544951413585,-111.21908340041051,0.006366113725334799,PASS,True,True,4.603452208151705e-15,
CO,sto-3g,1,8,1.1054552561616144,-0.0400254197923855,-111.22544951413585,-111.22054968097953,0.004899833156315481,PASS,True,True,7.153820202747973e-15,
CO,sto-3g,1,9,1.110791978800599,-0.03468869715340084,-111.22544951413585,-111.22181099030658,0.00363852382926666,PASS,True,True,5.770282608849601e-15,
CO,sto-3g,1,10,1.1161287014395838,-0.02935197451441618,-111.22544951413585,-111.22287389874302,0.0025756153928284675,PASS,True,True,8.090782068732269e-15,
CO,sto-3g,1,11,1.1214654240785686,-0.024015251875431298,-111.22544951413585,-111.2237447864152,0.0017047277206501121,PASS,True,True,1.0783248190721115e-14,
CO,sto-3g,1,12,1.1268021467175533,-0.01867852923644664,-111.22544951413585,-111.22442984903658,0.0010196650992639888,PASS,True,True,1.2523493421090574e-14,
CO,sto-3g,1,13,1.1321388693565382,-0.013341806597461758,-111.22544951413585,-111.22493510350722,0.0005144106286252281,PASS,True,True,8.595906073096692e-15,
CO,sto-3g,1,14,1.1374755919955228,-0.0080050839584771,-111.22544951413585,-111.22526639330833,0.00018312082751492653,PASS,True,True,9.36841804734264e-15,
CO,sto-3g,1,15,1.1428123146345075,-0.0026683613194924405,-111.22544951413585,-111.22542939370388,2.012043196941704e-05,PASS,True,True,7.678496344506883e-15,
CO,sto-3g,1,16,1.1481490372734924,0.0026683613194924405,-111.22544951413585,-111.2254296167568,1.9897379047506547e-05,PASS,True,True,8.346083021754223e-15,
CO,sto-3g,1,17,1.153485759912477,0.0080050839584771,-111.22544951413585,-111.2252724161674,0.00017709796844656012,PASS,True,True,2.694328656471203e-15,
CO,sto-3g,1,18,1.1588224825514617,0.013341806597461758,-111.22544951413585,-111.22496299194428,0.00048652219156508636,PASS,True,True,6.361443814274579e-15,
CO,sto-3g,1,19,1.1641592051904466,0.01867852923644664,-111.22544951413585,-111.22450639491372,0.0009431192221285301,PASS,True,True,1.0000652340483511e-14,
CO,sto-3g,1,20,1.1694959278294312,0.024015251875431298,-111.22544951413585,-111.22390753107553,0.0015419830603207174,PASS,True,True,6.446208865437502e-15,
CO,sto-3g,1,21,1.1748326504684161,0.02935197451441618,-111.22544951413585,-111.22317116581318,0.0022783483226618273,PASS,True,True,8.276788398689195e-15,
CO,sto-3g,1,22,1.1801693731074008,0.03468869715340084,-111.22544951413585,-111.22230192796394,0.003147586171905914,PASS,True,True,9.18986700438635e-15,
CO,sto-3g,1,23,1.1855060957463854,0.0400254197923855,-111.22544951413585,-111.22130431375541,0.004145200380435199,PASS,True,True,7.721650612266619e-15,
CO,sto-3g,1,24,1.1908428183853703,0.04536214243137038,-111.22544951413585,-111.22018269061604,0.00526682351980412,PASS,True,True,1.0852847257464009e-14,
CO,sto-3g,1,25,1.196179541024355,0.05069886507035504,-111.22544951413585,-111.21894130086403,0.006508213271814611,PASS,True,True,8.384422766393181e-15,
CO,sto-3g,1,26,1.2015162636633399,0.05603558770933992,-111.22544951413585,-111.21758426528072,0.007865248855125628,PASS,True,True,8.031324491675239e-15,
CO,sto-3g,1,27,1.2068529863023245,0.06137231034832458,-111.22544951413585,-111.2161155865738,0.009333927562039435,PASS,True,True,9.116450983977844e-15,
CO,sto-3g,1,28,1.2121897089413092,0.06670903298730924,-111.22544951413585,-111.21453915273601,0.010910361399837143,PASS,True,True,4.49283203566628e-15,
CO,sto-3g,1,29,1.217526431580294,0.07204575562629412,-111.22544951413585,-111.21285874030252,0.012590773833323965,PASS,True,True,8.092778175945757e-15,
CO,sto-3g,1,30,1.2228631542192787,0.07738247826527878,-111.22544951413585,-111.21107801751454,0.01437149662130821,PASS,True,True,7.103759604521302e-15,
