molecule,basis,selected_n,point_index,bond_length_A,q_A,E_re_Ha,E_RHF_Ha,delta_E_RHF_Ha,status,scf_converged,internal_stable,orbital_gradient_norm_Eh,failure
N2,sto-3g,1,1,1.0602971202446738,-0.07355388724932621,-107.50065426275157,-107.47926667605111,0.02138758670045604,PASS,True,True,8.09758895476312e-13,
N2,sto-3g,1,2,1.0653698021239377,-0.0684812053700623,-107.50065426275157,-107.48232136629704,0.01833289645452396,PASS,True,True,8.09987103069686e-12,
N2,sto-3g,1,3,1.0704424840032016,-0.0634085234907984,-107.50065426275157,-107.48511120799563,0.015543054755937646,PASS,True,True,7.948414671980254e-12,
N2,sto-3g,1,4,1.0755151658824655,-0.05833584161153449,-107.50065426275157,-107.48764418539537,0.01301007735619919,PASS,True,True,7.805691643482853e-12,
N2,sto-3g,1,5,1.0805878477617292,-0.053263159732270804,-107.50065426275157,-107.48992806739469,0.010726195356880908,PASS,True,True,7.653174181942417e-12,
N2,sto-3g,1,6,1.0856605296409931,-0.0481904778530069,-107.50065426275157,-107.49197041305658,0.008683849694989476,PASS,True,True,7.506132863332966e-12,
N2,sto-3g,1,7,1.090733211520257,-0.04311779597374299,-107.50065426275157,-107.4937785769808,0.006875685770765472,PASS,True,True,7.369299014820242e-12,
N2,sto-3g,1,8,1.095805893399521,-0.03804511409447908,-107.50065426275157,-107.4953597145375,0.005294548214067163,PASS,True,True,7.227792725293016e-12,
N2,sto-3g,1,9,1.1008785752787849,-0.032972432215215175,-107.50065426275157,-107.49672078697107,0.003933475780499407,PASS,True,True,7.102636410237975e-12,
N2,sto-3g,1,10,1.1059512571580488,-0.027899750335951268,-107.50065426275157,-107.49786856636872,0.002785696382844094,PASS,True,True,6.968864341748693e-12,
N2,sto-3g,1,11,1.1110239390373127,-0.02282706845668736,-107.50065426275157,-107.49880964050536,0.0018446222462102924,PASS,True,True,6.851901153010895e-12,
N2,sto-3g,1,12,1.1160966209165764,-0.017754386577423675,-107.50065426275157,-107.49955041756465,0.0011038451869183064,PASS,True,True,6.732938581073339e-12,
N2,sto-3g,1,13,1.1211693027958403,-0.012681704698159768,-107.50065426275157,-107.50009713073806,0.0005571320135118185,PASS,True,True,6.616915758946042e-12,
N2,sto-3g,1,14,1.1262419846751042,-0.007609022818895861,-107.50065426275157,-107.50045584271204,0.00019842003952419418,PASS,True,True,6.5030651397081474e-12,
N2,sto-3g,1,15,1.131314666554368,-0.0025363409396319536,-107.50065426275157,-107.50063245003729,2.1812714280144974e-05,PASS,True,True,6.399466635937074e-12,
N2,sto-3g,1,16,1.136387348433632,0.0025363409396319536,-107.50065426275157,-107.50063268738897,2.157536259517201e-05,PASS,True,True,6.267230236392842e-12,
N2,sto-3g,1,17,1.141460030312896,0.007609022818895861,-107.50065426275157,-107.50046213172013,0.00019213103144011257,PASS,True,True,6.177769282751696e-12,
N2,sto-3g,1,18,1.1465327121921598,0.012681704698159768,-107.50065426275157,-107.50012620631114,0.0005280564404301913,PASS,True,True,6.059142674773905e-12,
N2,sto-3g,1,19,1.1516053940714235,0.017754386577423453,-107.50065426275157,-107.49963018471493,0.0010240780366359559,PASS,True,True,5.9583716400699956e-12,
N2,sto-3g,1,20,1.1566780759506874,0.02282706845668736,-107.50065426275157,-107.49897919460615,0.001675068145416958,PASS,True,True,5.856717385128466e-12,
N2,sto-3g,1,21,1.1617507578299513,0.027899750335951268,-107.50065426275157,-107.49817822153258,0.0024760412189834824,PASS,True,True,5.752663811550117e-12,
N2,sto-3g,1,22,1.1668234397092152,0.032972432215215175,-107.50065426275157,-107.49723211257434,0.003422150177229355,PASS,True,True,5.655811445686777e-12,
N2,sto-3g,1,23,1.1718961215884791,0.03804511409447908,-107.50065426275157,-107.49614557990935,0.004508682842214284,PASS,True,True,5.5666916228324674e-12,
N2,sto-3g,1,24,1.176968803467743,0.04311779597374299,-107.50065426275157,-107.49492320429448,0.0057310584570871015,PASS,True,True,5.470232968945804e-12,
N2,sto-3g,1,25,1.182041485347007,0.0481904778530069,-107.50065426275157,-107.4935694384564,0.007084824295162662,PASS,True,True,5.379206771120264e-12,
N2,sto-3g,1,26,1.1871141672262708,0.053263159732270804,-107.50065426275157,-107.4920886104016,0.008565652349972197,PASS,True,True,5.27451608322452e-12,
N2,sto-3g,1,27,1.1921868491055345,0.05833584161153449,-107.50065426275157,-107.49048492664369,0.010169336107878735,PASS,True,True,5.185844450142075e-12,
N2,sto-3g,1,28,1.1972595309847984,0.0634085234907984,-107.50065426275157,-107.48876247535195,0.011891787399619602,PASS,True,True,5.101805215061134e-12,
N2,sto-3g,1,29,1.2023322128640623,0.0684812053700623,-107.50065426275157,-107.48692522942248,0.013729033329084928,PASS,True,True,5.01422990050092e-12,
N2,sto-3g,1,30,1.2074048947433262,0.07355388724932621,-107.50065426275157,-107.48497704947498,0.01567721327658944,PASS,True,True,4.920577147584861e-12,
