molecule,basis,selected_n,point_index,bond_length_A,q_A,E_re_Ha,E_RHF_Ha,delta_E_RHF_Ha,status,scf_converged,internal_stable,orbital_gradient_norm_Eh,failure
NH3,sto-3g,1,1,0.9376456348042379,-0.09487707876189888,-55.45541977879945,-55.42410414541763,0.03131563338182275,PASS,True,True,3.8327369247447553e-13,
NH3,sto-3g,1,2,0.9441888816154034,-0.08833383195073341,-55.45541977879945,-55.428621757693755,0.026798021105697956,PASS,True,True,6.9989158171834326e-15,
NH3,sto-3g,1,3,0.9507321284265687,-0.08179058513956805,-55.45541977879945,-55.43273667255333,0.022683106246120133,PASS,True,True,9.673062270713145e-15,
NH3,sto-3g,1,4,0.9572753752377342,-0.07524733832840258,-55.45541977879945,-55.43646310469789,0.018956674101559656,PASS,True,True,5.835555088425264e-15,
NH3,sto-3g,1,5,0.9638186220488997,-0.06870409151723711,-55.45541977879945,-55.43981473444276,0.015605044356689746,PASS,True,True,8.679083890709181e-15,
NH3,sto-3g,1,6,0.9703618688600651,-0.06216084470607164,-55.45541977879945,-55.442804731166284,0.012615047633168786,PASS,True,True,6.533562331908819e-15,
NH3,sto-3g,1,7,0.9769051156712305,-0.05561759789490628,-55.45541977879945,-55.445445775728835,0.009974003070617243,PASS,True,True,9.21941327301852e-15,
NH3,sto-3g,1,8,0.983448362482396,-0.04907435108374081,-55.45541977879945,-55.447750081895656,0.007669696903796819,PASS,True,True,9.419665926027288e-15,
NH3,sto-3g,1,9,0.9899916092935614,-0.04253110427257534,-55.45541977879945,-55.4497294167978,0.005690362001651295,PASS,True,True,7.639806832225518e-15,
NH3,sto-3g,1,10,0.9965348561047269,-0.03598785746140987,-55.45541977879945,-55.451395120463125,0.004024658336327036,PASS,True,True,1.1541962584339952e-14,
NH3,sto-3g,1,11,1.0030781029158924,-0.029444610650244396,-55.45541977879945,-55.452758124451194,0.002661654348258935,PASS,True,True,9.667195797775155e-15,
NH3,sto-3g,1,12,1.0096213497270576,-0.022901363839079147,-55.45541977879945,-55.45382896962219,0.0015908091772658395,PASS,True,True,9.907917824849027e-15,
NH3,sto-3g,1,13,1.016164596538223,-0.016358117027913677,-55.45541977879945,-55.45461782307142,0.0008019557280292133,PASS,True,True,6.684788363425661e-15,
NH3,sto-3g,1,14,1.0227078433493886,-0.009814870216748206,-55.45541977879945,-55.455134494261046,0.0002852845384069269,PASS,True,True,5.9881018833888006e-15,
NH3,sto-3g,1,15,1.029251090160554,-0.0032716234055827353,-55.45541977879945,-55.45538845037706,3.1328422394949484e-05,PASS,True,True,9.537659913659925e-15,
NH3,sto-3g,1,16,1.0357943369717195,0.0032716234055827353,-55.45541977879945,-55.455388830946475,3.094785297719227e-05,PASS,True,True,1.1501298575888024e-14,
NH3,sto-3g,1,17,1.042337583782885,0.009814870216748206,-55.45541977879945,-55.45514446173273,0.0002753170667233462,PASS,True,True,7.402964692250773e-15,
NH3,sto-3g,1,18,1.0488808305940505,0.016358117027913677,-55.45541977879945,-55.45466386795333,0.0007559108461236974,PASS,True,True,5.731264429962475e-15,
NH3,sto-3g,1,19,1.055424077405216,0.022901363839079147,-55.45541977879945,-55.45395528683365,0.0014644919658053368,PASS,True,True,6.934680856318588e-15,
NH3,sto-3g,1,20,1.0619673242163812,0.029444610650244396,-55.45541977879945,-55.45302667953436,0.0023930992650917915,PASS,True,True,7.24156644772263e-15,
NH3,sto-3g,1,21,1.0685105710275467,0.03598785746140987,-55.45541977879945,-55.45188574247522,0.003534036324232659,PASS,True,True,5.1580251939530214e-15,
NH3,sto-3g,1,22,1.0750538178387121,0.04253110427257534,-55.45541977879945,-55.45053991808272,0.004879860716734186,PASS,True,True,8.171737836793589e-15,
NH3,sto-3g,1,23,1.0815970646498776,0.04907435108374081,-55.45541977879945,-55.448996404987355,0.006423373812097566,PASS,True,True,7.529332165106146e-15,
NH3,sto-3g,1,24,1.088140311461043,0.05561759789490628,-55.45541977879945,-55.44726216769813,0.008157611101324846,PASS,True,True,2.092718342347894e-15,
NH3,sto-3g,1,25,1.0946835582722085,0.06216084470607175,-55.45541977879945,-55.44534394577579,0.010075833023662994,PASS,True,True,7.901858629060031e-15,
NH3,sto-3g,1,26,1.1012268050833738,0.068704091517237,-55.45541977879945,-55.44324826253324,0.012171516266214155,PASS,True,True,7.148229388362705e-15,
NH3,sto-3g,1,27,1.1077700518945393,0.07524733832840247,-55.45541977879945,-55.4409814332831,0.014438345516353479,PASS,True,True,8.178160686878567e-15,
NH3,sto-3g,1,28,1.1143132987057047,0.08179058513956794,-55.45541977879945,-55.43854957315885,0.01687020564060049,PASS,True,True,9.633206685159295e-15,
NH3,sto-3g,1,29,1.1208565455168702,0.08833383195073341,-55.45541977879945,-55.4359586045282,0.019461174271249604,PASS,True,True,5.3681910461858646e-15,
NH3,sto-3g,1,30,1.1273997923280357,0.09487707876189888,-55.45541977879945,-55.43321426402575,0.02220551477370236,PASS,True,True,8.423612167672641e-15,
