molecule,basis,selected_n,point_index,bond_length_A,q_A,E_re_Ha,E_RHF_Ha,delta_E_RHF_Ha,status,scf_converged,internal_stable,orbital_gradient_norm_Eh,failure
LiH,sto-3g,1,1,1.262772864212423,-0.2480389888195771,-7.863382128921103,-7.846905563298792,0.0164765656223107,PASS,True,True,9.552380327402676e-13,
LiH,sto-3g,1,2,1.2798790013723937,-0.2309328516596063,-7.863382128921103,-7.849365480271401,0.014016648649701757,PASS,True,True,7.715011967599406e-12,
LiH,sto-3g,1,3,1.2969851385323645,-0.21382671449963553,-7.863382128921103,-7.851586316684363,0.011795812236739422,PASS,True,True,6.8021475163908026e-12,
LiH,sto-3g,1,4,1.3140912756923355,-0.19672057733966453,-7.863382128921103,-7.853580069643868,0.009802059277235209,PASS,True,True,6.0000340615331625e-12,
LiH,sto-3g,1,5,1.3311974128523063,-0.17961444017969375,-7.863382128921103,-7.85535806774674,0.008024061174363162,PASS,True,True,5.29331526637536e-12,
LiH,sto-3g,1,6,1.348303550012277,-0.16250830301972297,-7.863382128921103,-7.856931016283436,0.006451112637666512,PASS,True,True,4.671831515187163e-12,
LiH,sto-3g,1,7,1.3654096871722479,-0.14540216585975219,-7.863382128921103,-7.858309039034327,0.0050730898867756835,PASS,True,True,4.1235352890060626e-12,
LiH,sto-3g,1,8,1.3825158243322189,-0.12829602869978118,-7.863382128921103,-7.8595017168684755,0.0038804120526272357,PASS,True,True,3.641676594552503e-12,
LiH,sto-3g,1,9,1.3996219614921896,-0.1111898915398104,-7.863382128921103,-7.860518123358377,0.0028640055627260352,PASS,True,True,3.21598545038587e-12,
LiH,sto-3g,1,10,1.4167280986521604,-0.09408375437983962,-7.863382128921103,-7.861366857621933,0.0020152712991698962,PASS,True,True,2.842435799221541e-12,
LiH,sto-3g,1,11,1.4338342358121312,-0.07697761721986884,-7.863382128921103,-7.86205607459927,0.0013260543218329701,PASS,True,True,2.5123095325868815e-12,
LiH,sto-3g,1,12,1.4509403729721022,-0.05987148005989784,-7.863382128921103,-7.862593512964772,0.0007886159563303963,PASS,True,True,2.2214813132236472e-12,
LiH,sto-3g,1,13,1.468046510132073,-0.04276534289992706,-7.863382128921103,-7.862986520865992,0.000395608055110408,PASS,True,True,1.9662431137473917e-12,
LiH,sto-3g,1,14,1.4851526472920438,-0.02565920573995628,-7.863382128921103,-7.863242079670977,0.0001400492501257844,PASS,True,True,1.7411153857461308e-12,
LiH,sto-3g,1,15,1.5022587844520146,-0.008553068579985501,-7.863382128921103,-7.863366825894265,1.530302683772078e-05,PASS,True,True,1.542426693961741e-12,
LiH,sto-3g,1,16,1.5193649216119853,0.008553068579985279,-7.863382128921103,-7.8633670714604085,1.5057460694301028e-05,PASS,True,True,1.3686781142463218e-12,
LiH,sto-3g,1,17,1.5364710587719563,0.02565920573995628,-7.863382128921103,-7.863248822451761,0.00013330646934139878,PASS,True,True,1.2153066742456015e-12,
LiH,sto-3g,1,18,1.5535771959319271,0.04276534289992706,-7.863382128921103,-7.863017796475906,0.0003643324451969576,PASS,True,True,1.0797528777840936e-12,
LiH,sto-3g,1,19,1.570683333091898,0.05987148005989784,-7.863382128921103,-7.862679438776034,0.0007026901450686296,PASS,True,True,9.610303576503778e-13,
LiH,sto-3g,1,20,1.587789470251869,0.07697761721986884,-7.863382128921103,-7.862238937197494,0.0011431917236084388,PASS,True,True,8.561512165148313e-13,
LiH,sto-3g,1,21,1.6048956074118397,0.09408375437983962,-7.863382128921103,-7.861701236112606,0.0016808928084968144,PASS,True,True,7.637948351180754e-13,
LiH,sto-3g,1,22,1.6220017445718105,0.1111898915398104,-7.863382128921103,-7.861071049396425,0.002311079524678128,PASS,True,True,6.830424310684959e-13,
LiH,sto-3g,1,23,1.6391078817317812,0.12829602869978118,-7.863382128921103,-7.860352872537257,0.0030292563838454356,PASS,True,True,6.111252179146535e-13,
LiH,sto-3g,1,24,1.6562140188917522,0.14540216585975219,-7.863382128921103,-7.859550993957266,0.003831134963836469,PASS,True,True,5.47095725246747e-13,
LiH,sto-3g,1,25,1.673320156051723,0.16250830301972297,-7.863382128921103,-7.858669505610947,0.004712623310155983,PASS,True,True,4.910631157402776e-13,
LiH,sto-3g,1,26,1.6904262932116938,0.17961444017969375,-7.863382128921103,-7.85771231292287,0.005669815998232686,PASS,True,True,4.4218408685935066e-13,
LiH,sto-3g,1,27,1.7075324303716646,0.19672057733966453,-7.863382128921103,-7.856683144119477,0.006698984801626118,PASS,True,True,3.98444605193135e-13,
LiH,sto-3g,1,28,1.7246385675316356,0.21382671449963553,-7.863382128921103,-7.855585559004294,0.007796569916808771,PASS,True,True,3.590708916820151e-13,
LiH,sto-3g,1,29,1.7417447046916064,0.2309328516596063,-7.863382128921103,-7.854422957221373,0.008959171699729929,PASS,True,True,3.2504124530983934e-13,
LiH,sto-3g,1,30,1.7588508418515771,0.2480389888195771,-7.863382128921103,-7.853198586047023,0.01018354287407952,PASS,True,True,2.941086516427499e-13,
BeH2,sto-3g,1,1,1.1486075210698299,-0.1419308999281701,-15.561352807782086,-15.54092303896709,0.020429768814995697,PASS,True,True,9.426820805801264e-13,
BeH2,sto-3g,1,2,1.1583958589959107,-0.1321425620020893,-15.561352807782086,-15.543875015294624,0.01747779248746184,PASS,True,True,1.3200412478164037e-12,
BeH2,sto-3g,1,3,1.1681841969219913,-0.12235422407600871,-15.561352807782086,-15.546562816312676,0.014789991469410069,PASS,True,True,1.2151930541204859e-12,
BeH2,sto-3g,1,4,1.177972534848072,-0.11256588614992791,-15.561352807782086,-15.548995912356306,0.012356895425780223,PASS,True,True,1.1143204823554135e-12,
BeH2,sto-3g,1,5,1.1877608727741527,-0.10277754822384733,-15.561352807782086,-15.551183422546572,0.010169385235514028,PASS,True,True,1.0193155496170275e-12,
BeH2,sto-3g,1,6,1.1975492107002335,-0.09298921029776652,-15.561352807782086,-15.553134128668116,0.008218679113969785,PASS,True,True,9.351582851626522e-13,
BeH2,sto-3g,1,7,1.207337548626314,-0.08320087237168594,-15.561352807782086,-15.55485648843112,0.006496319350965507,PASS,True,True,8.552903317880806e-13,
BeH2,sto-3g,1,8,1.2171258865523948,-0.07341253444560514,-15.561352807782086,-15.55635864815539,0.004994159626695804,PASS,True,True,7.807444829941828e-13,
