q_A,s_A,energy_Eh,scf_converged,orbital_gradient_norm_Eh,internal_stable,lowest_internal_stability_eigenvalue_Eh,restricted_stability_corrections,accepted,failure
0.0,1.3286558688410872,-394.3116300592765,True,4.922801274024346e-13,True,1.517608213362163,0,True,
0.1,1.4286558688410873,-394.29934471457864,True,1.181726988908385e-13,True,1.3197591095585255,0,True,
0.2,1.5286558688410872,-394.2687277897996,True,7.096538899468822e-14,True,1.1433330774148032,0,True,
0.3,1.6286558688410873,-394.2267526947129,True,3.862503014192949e-14,True,0.9878327592096513,0,True,
0.5,1.8286558688410872,-394.12611049840245,True,5.908708535118727e-12,True,0.7332387216530589,0,True,
0.75,2.0786558688410874,-393.99461333180875,True,5.886841822377286e-12,True,0.5009990912550796,0,True,
1.0,2.3286558688410874,-393.8754690879098,True,3.5971728557783785e-13,True,0.33904717503460635,0,True,
1.5,2.8286558688410874,-393.69983546349863,True,1.443631420810675e-14,True,0.0655709446450024,0,True,
2.0,3.3286558688410874,-393.6405422234788,True,2.502104722154205e-15,True,0.00772722661149798,1,True,
3.0,4.328655868841087,-393.62091283270604,True,3.1696260889410245e-15,True,0.00015411750944762908,1,True,
4.0,5.328655868841087,-393.6129062866314,True,8.003163562410993e-15,True,4.7185932368618756e-05,0,True,
5.0,6.328655868841087,-393.6074689390578,True,8.333772423207625e-15,True,1.656563090191006e-05,0,True,
11.328655868841087,12.657311737682175,-393.59299869491997,True,5.150067259305756e-12,True,2.4865719692492017e-07,0,True,
23.985967606523264,25.31462347536435,-393.5857655509114,True,5.7696750120005856e-15,True,3.811183417901792e-09,0,True,
49.30059108188761,50.6292469507287,-393.58214900857473,True,1.4255568071673594e-13,True,5.899266636287167e-11,0,True,
99.92983803261632,101.2584939014574,-393.5803407378601,True,8.643247230293615e-15,True,9.14625678504897e-13,0,True,
201.18833193407372,202.5169878029148,-393.5794366025103,True,2.3424969416600543e-15,True,2.1942146611105963e-14,0,True,
403.7053197369885,405.0339756058296,-393.5789845348352,True,1.5987484582962112e-15,True,1.948364362142929e-15,0,True,
808.7392953428181,810.0679512116592,-393.5787585009981,True,8.634744956063473e-15,True,-9.63270211460523e-15,0,True,
1618.8072465544774,1620.1359024233184,-393.5786454840787,True,3.2461770471260164e-15,True,-5.5886149565023e-15,0,True,
3238.9431489777958,3240.2718048466368,-393.5785889756198,True,7.029866131352185e-15,True,-1.8452667318975827e-14,0,True,
6479.214953824432,6480.5436096932735,-393.57856072139003,True,3.7642722952547235e-15,True,-2.031035415558011e-15,0,True,
12959.758563517706,12961.087219386547,-393.5785465942751,True,1.985386758585283e-12,True,1.0966705870757619e-15,0,True,
25920.845782904253,25922.174438773094,-393.5785395307182,True,2.234083063674587e-12,True,-7.792594992085826e-15,0,True,
51843.02022167735,51844.34887754619,-393.5785359989388,True,2.2651869933617656e-12,True,-4.8555379468802275e-15,0,True,
103687.36909922354,103688.69775509238,-393.5785342330496,True,2.2685738297404696e-12,True,-3.912085609637147e-15,0,True,
207376.06685431593,207377.39551018475,-393.57853335010503,True,2.26902101800863e-12,True,-1.0269819662943399e-14,0,True,
414753.4623645007,414754.7910203695,-393.5785329086322,True,2.2692082117043665e-12,True,-5.8113615092255e-15,0,True,
829508.2533848701,829509.582040739,-393.5785326878965,True,2.2690151825767713e-12,True,-2.0411995604312586e-15,0,True,
1659017.8354256093,1659019.164081478,-393.57853257752845,True,2.2685060275616302e-12,True,3.3260665693206384e-15,0,True,
