molecule,geom_index,bond_length_angstrom,E_RHF_Ha,E_FCI_frozen_core_Ha,E_corr_Ha,E_corr_mHa,E_corr_over_1p6_mHa,RHF_within_1p6_mHa_of_FCI
LiH,0,1.262772864212423,-7.846905563298792,-7.8636664746759966,-0.01676091137720448,-16.76091137720448,-10.4755696107528,False
LiH,1,1.2798790013723937,-7.849365480271401,-7.866207621011387,-0.016842140739986355,-16.842140739986355,-10.526337962491471,False
LiH,2,1.2969851385323645,-7.851586316684363,-7.868519480482412,-0.016933163798048767,-16.933163798048767,-10.58322737378048,False
LiH,3,1.3140912756923355,-7.853580069643868,-7.870614119469796,-0.017034049825928044,-17.034049825928044,-10.646281141205026,False
LiH,4,1.3311974128523063,-7.85535806774674,-7.872502930661344,-0.017144862914604708,-17.14486291460471,-10.715539321627942,False
LiH,5,1.348303550012277,-7.856931016283436,-7.874196679224515,-0.017265662941079007,-17.265662941079007,-10.791039338174379,False
LiH,6,1.3654096871722479,-7.858309039034327,-7.875705545484815,-0.017396506450487514,-17.396506450487514,-10.872816531554696,False
LiH,7,1.3825158243322189,-7.8595017168684755,-7.87703916432519,-0.01753744745671426,-17.53744745671426,-10.960904660446413,False
LiH,8,1.3996219614921896,-7.860518123358377,-7.8782066615243815,-0.017688538166004797,-17.688538166004797,-11.055336353752997,False
LiH,9,1.4167280986521604,-7.861366857621933,-7.8792166872516605,-0.017849829629727587,-17.849829629727587,-11.156143518579741,False
LiH,10,1.4338342358121312,-7.86205607459927,-7.88007744693032,-0.0180213723310505,-18.0213723310505,-11.263357706906563,False
LiH,11,1.4509403729721022,-7.862593512964772,-7.8807967296757155,-0.01820321671094316,-18.20321671094316,-11.377010444339474,False
LiH,12,1.468046510132073,-7.862986520865992,-7.881381934504594,-0.018395413638601532,-18.395413638601532,-11.497133524125957,False
LiH,13,1.4851526472920438,-7.863242079670977,-7.881840094501892,-0.018598014830915055,-18.598014830915055,-11.623759269321909,False
LiH,14,1.5022587844520146,-7.863366825894265,-7.882177899119756,-0.018811073225490915,-18.811073225490915,-11.756920765931822,False
LiH,15,1.5193649216119853,-7.8633670714604085,-7.882401714772063,-0.019034643311654165,-19.034643311654165,-11.896652069783853,False
LiH,16,1.5364710587719563,-7.863248822451761,-7.882517603874897,-0.019268781423135373,-19.268781423135373,-12.042988389459607,False
LiH,17,1.5535771959319271,-7.863017796475906,-7.882531342472069,-0.01951354599616284,-19.51354599616284,-12.195966247601774,False
LiH,18,1.570683333091898,-7.862679438776034,-7.882448436572416,-0.019768997796381527,-19.768997796381527,-12.355623622738454,False
LiH,19,1.587789470251869,-7.862238937197494,-7.8822741373149485,-0.02003520011745419,-20.03520011745419,-12.522000073408867,False
LiH,20,1.6048956074118397,-7.861701236112606,-7.882013455066817,-0.02031221895421087,-20.31221895421087,-12.695136846381793,False
LiH,21,1.6220017445718105,-7.861071049396425,-7.8816711725491775,-0.020600123152752836,-20.600123152752836,-12.875076970470522,False
LiH,22,1.6391078817317812,-7.860352872537257,-7.8812518570770935,-0.020898984539836185,-20.898984539836185,-13.061865337397615,False
LiH,23,1.6562140188917522,-7.859550993957266,-7.880759871990435,-0.02120887803316851,-21.20887803316851,-13.255548770730318,False
LiH,24,1.673320156051723,-7.858669505610947,-7.8801993873457254,-0.021529881734778655,-21.529881734778655,-13.45617608423666,False
LiH,25,1.6904262932116938,-7.85771231292287,-7.879574389931393,-0.021862077008522718,-21.862077008522718,-13.663798130326699,False
LiH,26,1.7075324303716646,-7.856683144119477,-7.878888692662537,-0.02220554854306034,-22.20554854306034,-13.87846783941271,False
LiH,27,1.7246385675316356,-7.855585559004294,-7.878145943405789,-0.022560384401494993,-22.560384401494993,-14.10024025093437,False
LiH,28,1.7417447046916064,-7.854422957221373,-7.8773496332795965,-0.022926676058223627,-22.926676058223627,-14.329172536389766,False
LiH,29,1.7588508418515771,-7.853198586047023,-7.876503104470688,-0.023304518423664433,-23.304518423664433,-14.56532401479027,False
BeH2,0,1.1486075210698299,-15.54092303896709,-15.569374826324921,-0.028451787357830938,-28.451787357830938,-17.782367098644336,False
BeH2,1,1.1583958589959107,-15.543875015294624,-15.572582685547493,-0.028707670252869022,-28.707670252869022,-17.942293908043137,False
BeH2,2,1.1681841969219913,-15.546562816312676,-15.575535590593448,-0.028972774280772384,-28.972774280772384,-18.10798392548274,False
BeH2,3,1.177972534848072,-15.548995912356306,-15.578242972117266,-0.029247059760960425,-29.247059760960425,-18.279412350600264,False
BeH2,4,1.1877608727741527,-15.551183422546572,-15.58071391715557,-0.02953049460899848,-29.53049460899848,-18.45655913062405,False
BeH2,5,1.1975492107002335,-15.553134128668116,-15.582957182748636,-0.029823054080519995,-29.823054080519995,-18.639408800324997,False
BeH2,6,1.207337548626314,-15.55485648843112,-15.58498120895268,-0.030124720521559567,-30.124720521559567,-18.82795032597473,False
BeH2,7,1.2171258865523948,-15.55635864815539,-15.586794131280419,-0.03043548312502864,-30.43548312502864,-19.0221769531429,False
BeH2,8,1.2269142244784754,-15.557648454910193,-15.588403792603476,-0.030755337693282314,-30.755337693282314,-19.222086058301446,False
BeH2,9,1.2367025624045562,-15.55873346814231,-15.58981775454942,-0.031084286407109474,-31.084286407109474,-19.42767900444342,False
