molecule,model,seed,split,count,best_epoch,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,FG,0,train,15,419,0.0012592765804753945,1.2592765804753945,0.0018842942181959983,1.8842942181959983,0.004964229043683571,4.964229043683571,0.008358509977398523,8.358509977398523
CO,FG,0,test,15,419,0.0010842977296494417,1.0842977296494416,0.0014538346131222166,1.4538346131222166,0.0032893886280700724,3.289388628070072,0.0053654194303272285,5.365419430327228
CO,FE,0,train,15,500,0.0014694666304727155,1.4694666304727155,0.0018983319273957182,1.8983319273957182,0.004101038035832977,4.1010380358329765,0.007871255593483673,7.8712555934836725
CO,FE,0,test,15,500,0.0014130578648193393,1.4130578648193393,0.0019431065414684862,1.943106541468486,0.005528216423341753,5.528216423341753,0.007796631962863704,7.796631962863704
CO,MB-1,0,train,15,500,0.0005856262919960424,0.5856262919960423,0.000712307212749392,0.712307212749392,0.0015140554571522469,1.5140554571522469,0.0021632075250952176,2.163207525095218
CO,MB-1,0,test,15,500,0.0006117110747355399,0.61171107473554,0.0007560315755601749,0.756031575560175,0.0018352335094314332,1.8352335094314332,0.0024751249021988664,2.4751249021988664
CO,FG,1,train,15,252,0.0012445046916549462,1.2445046916549463,0.0018723831499555927,1.8723831499555927,0.005438481646782567,5.4384816467825665,0.008914592538385918,8.914592538385918
CO,FG,1,test,15,252,0.000928471349314856,0.928471349314856,0.0012882380476629959,1.2882380476629958,0.0032002532985584975,3.2002532985584975,0.00492411398537862,4.92411398537862
CO,FG,2,train,15,160,0.001226723115423776,1.226723115423776,0.0020554172370315783,2.055417237031578,0.007003681345792462,7.003681345792462,0.008306502899646767,8.306502899646768
CO,FG,2,test,15,160,0.0010016653589608794,1.0016653589608793,0.0012098230539516538,1.2098230539516537,0.0023711713641584586,2.3711713641584584,0.004394987973564718,4.394987973564718
CO,FG,3,train,15,260,0.0012524317733377014,1.2524317733377015,0.0018945511611807078,1.8945511611807078,0.004957702316704948,4.957702316704948,0.00865271391773123,8.65271391773123
CO,FG,3,test,15,260,0.0010809918648950257,1.0809918648950256,0.001466434657708083,1.4664346577080831,0.0033199304902362115,3.3199304902362115,0.005344194247978773,5.344194247978773
CO,FG,4,train,15,239,0.0012000980160589887,1.2000980160589887,0.002113432808244757,2.113432808244757,0.007264152649437805,7.264152649437805,0.00873113432746564,8.73113432746564
CO,FG,4,test,15,239,0.0009488323545246794,0.9488323545246794,0.0012130237129954087,1.2130237129954087,0.0023195765226571297,2.3195765226571297,0.004393634204114927,4.393634204114926
CO,FG,5,train,15,142,0.0012431369320372216,1.2431369320372216,0.0019085747587452486,1.9085747587452486,0.005409991947061377,5.409991947061377,0.008435018977464626,8.435018977464626
CO,FG,5,test,15,142,0.0010539159007819765,1.0539159007819765,0.001436214032514838,1.436214032514838,0.0031487529982333895,3.1487529982333893,0.004958333163525452,4.958333163525452
CO,FG,6,train,15,130,0.0012172250543693605,1.2172250543693606,0.0020279328520028455,2.0279328520028455,0.006481308858161672,6.481308858161672,0.008906867446771688,8.906867446771688
