epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
1,0.03136510159850982,31.365101598509817,0.029360430713366248,29.36043071336625,0.02,1,-0.016186735884427178,-0.004228020738654677
2,0.02009326139168733,20.093261391687328,0.019467833445713578,19.467833445713577,0.02,2,-0.03572677301375632,-0.012219188203693832
3,0.013984799882327504,13.984799882327504,0.013723679817407993,13.723679817407993,0.02,3,-0.04661533187173356,-0.015374820828268214
4,0.014467570492685761,14.467570492685761,0.013657639665203686,13.657639665203687,0.02,3,-0.062427628482020235,-0.021444765012948685
5,0.011088049857606903,11.088049857606903,0.01185713732693056,11.857137326930559,0.02,5,-0.08442371390278702,-0.0219412273498608
6,0.013871621027100399,13.8716210271004,0.013596469268470612,13.596469268470612,0.02,5,-0.10480245725620371,-0.02649168516576005
7,0.01475406095249334,14.75406095249334,0.014587549070126193,14.587549070126194,0.02,5,-0.12251878772768306,-0.031628895396028034
8,0.008134086553124092,8.134086553124092,0.00682811004637228,6.82811004637228,0.02,8,-0.13661590668465468,-0.035498578727666
9,0.010000906486123966,10.000906486123966,0.010472854186162488,10.472854186162488,0.02,8,-0.1489199068616866,-0.03831823160751851
10,0.00796469875720562,7.96469875720562,0.008324696031626964,8.324696031626964,0.02,10,-0.1621803015660478,-0.04098466701102248
11,0.0072025435932275275,7.202543593227528,0.007291469443516205,7.291469443516204,0.02,11,-0.1763460174553254,-0.046924446533064434
12,0.010715083298513004,10.715083298513004,0.010578886926327117,10.578886926327117,0.02,11,-0.18958384224188898,-0.05164984038362248
13,0.008138625370576032,8.138625370576031,0.007471746373880875,7.471746373880874,0.02,11,-0.19970678404170877,-0.054802657640755495
14,0.00601005461706021,6.01005461706021,0.005676829847132414,5.676829847132414,0.02,14,-0.20801602637001068,-0.05744241729513103
15,0.0071755931208246585,7.175593120824659,0.00721882856381851,7.21882856381851,0.02,14,-0.21728219393355624,-0.06000206727453162
16,0.005518615634978994,5.518615634978994,0.005622708180536303,5.622708180536303,0.02,16,-0.2266437882342847,-0.06233747092755922
