model,seed,mae_mHa,molecule,split
FE,0,2.1763181444326225,ALL,train
FE,1,3.6072715259701718,ALL,train
FE,2,1.9606764231503466,ALL,train
FE,3,3.506480943605052,ALL,train
FE,4,1.8306184573854836,ALL,train
FE,5,1.6124622922329432,ALL,train
FE,6,1.5683466288978467,ALL,train
FE,7,1.7411170829153508,ALL,train
FE,8,2.074228883220064,ALL,train
FE,9,3.5642051597259696,ALL,train
FE,10,2.0921091533539067,ALL,train
FE,11,3.802040399020407,ALL,train
FE,12,1.8512500333978221,ALL,train
FE,13,1.8827745621592562,ALL,train
FE,14,1.9183235215207521,ALL,train
FE,15,1.8838209973907913,ALL,train
FE,16,1.7351106322656453,ALL,train
FE,17,1.8716823024462648,ALL,train
FE,18,1.936903267928188,ALL,train
FE,19,2.183460625381369,ALL,train
FE,20,1.8595669545705868,ALL,train
FE,21,1.6300222510856388,ALL,train
FE,22,2.236087561936828,ALL,train
FE,23,1.9377616736287702,ALL,train
FE,24,3.6353598785192047,ALL,train
FE,25,3.7458069707855275,ALL,train
FE,26,1.9720850838161568,ALL,train
FE,27,2.8138293037461923,ALL,train
FE,28,2.2031846602653173,ALL,train
FE,29,2.535043872274238,ALL,train
FE,30,2.172859919954721,ALL,train
FE,31,2.302037554201878,ALL,train
FG,0,4.279643195565291,ALL,train
FG,1,4.1256753093393534,ALL,train
FG,2,2.17660615743398,ALL,train
FG,3,2.1209113115920144,ALL,train
FG,4,4.164069991383621,ALL,train
FG,5,1.5604822251490014,ALL,train
FG,6,4.951026104497764,ALL,train
FG,7,4.869757387572047,ALL,train
FG,8,4.238857775545259,ALL,train
FG,9,4.181512125513076,ALL,train
FG,10,4.82708788277565,ALL,train
FG,11,4.842601488897225,ALL,train
FG,12,1.5591674170099583,ALL,train
FG,13,1.55438210700366,ALL,train
FG,14,2.145718730300596,ALL,train
FG,15,1.6966778087603738,ALL,train
FG,16,4.918352387124279,ALL,train
FG,17,0.9177696512581462,ALL,train
FG,18,1.5640522637888787,ALL,train
FG,19,2.1324508377612426,ALL,train
FG,20,4.988871753408763,ALL,train
FG,21,4.88155388548682,ALL,train
FG,22,4.224721381114145,ALL,train
FG,23,1.0716619810630157,ALL,train
FG,24,2.1505030921942114,ALL,train
FG,25,4.2254959835917205,ALL,train
FG,26,2.1439490612582692,ALL,train
FG,27,4.0238765238275755,ALL,train
FG,28,4.868669281760574,ALL,train
FG,29,1.095586183870778,ALL,train
FG,30,4.136524847619645,ALL,train
FG,31,2.1205151397722166,ALL,train
MB-1,0,0.5856262919960423,ALL,train
MB-1,1,0.5161942579058322,ALL,train
MB-1,2,0.6866414839852684,ALL,train
MB-1,3,0.5295446394875067,ALL,train
MB-1,4,0.5885219851036804,ALL,train
MB-1,5,0.6637982642416653,ALL,train
MB-1,6,0.5766317311976817,ALL,train
MB-1,7,6.921252367964091,ALL,train
MB-1,8,0.5254558601824907,ALL,train
MB-1,9,0.679255065280096,ALL,train
MB-1,10,0.5521857053690793,ALL,train
MB-1,11,0.7056424882317114,ALL,train
MB-1,12,0.592003322622664,ALL,train
MB-1,13,0.6306473027448523,ALL,train
MB-1,14,0.7389024607126964,ALL,train
MB-1,15,2.2418947671740646,ALL,train
MB-1,16,0.5925022093895348,ALL,train
MB-1,17,0.5184287421817794,ALL,train
MB-1,18,0.617143626295244,ALL,train
MB-1,19,0.5692984922852751,ALL,train
MB-1,20,2.1796944332831543,ALL,train
MB-1,21,0.26236471811105033,ALL,train
MB-1,22,0.4696702497231614,ALL,train
MB-1,23,0.43256373760178396,ALL,train
MB-1,24,0.7906984294198394,ALL,train
MB-1,25,0.5059506807704783,ALL,train
MB-1,26,0.6452999723819094,ALL,train
MB-1,27,0.5287364762732569,ALL,train
MB-1,28,2.720598391009965,ALL,train
MB-1,29,0.6294834448457465,ALL,train
MB-1,30,2.388895090031246,ALL,train
MB-1,31,0.48827762670952124,ALL,train
FE,0,2.2498498226694954,ALL,test
FE,1,3.5214156294741077,ALL,test
FE,2,2.308722902327879,ALL,test
FE,3,3.3940024824047916,ALL,test
FE,4,1.7533498448379055,ALL,test
FE,5,1.9793856615577237,ALL,test
FE,6,1.7314146961599877,ALL,test
FE,7,1.8360238674456704,ALL,test
FE,8,2.061426726644907,ALL,test
FE,9,3.472489974790901,ALL,test
FE,10,2.0405616899378622,ALL,test
FE,11,3.6817377732399756,ALL,test
FE,12,2.211378764065249,ALL,test
FE,13,2.25255236627991,ALL,test
FE,14,1.9637723425987352,ALL,test
FE,15,1.7304505687562404,ALL,test
FE,16,1.8554661118247182,ALL,test
FE,17,1.8065894850761877,ALL,test
FE,18,2.178324667531619,ALL,test
FE,19,2.222342344855053,ALL,test
FE,20,1.7624758454836242,ALL,test
FE,21,1.8262053558335878,ALL,test
FE,22,2.320852927550175,ALL,test
FE,23,1.8868165338573013,ALL,test
FE,24,3.5825478510476203,ALL,test
FE,25,3.3948669929763735,ALL,test
FE,26,1.9784988769976364,ALL,test
FE,27,3.0327829622764906,ALL,test
FE,28,2.4159516245066035,ALL,test
FE,29,2.7704793427271683,ALL,test
FE,30,2.4987450750428484,ALL,test
FE,31,2.39036238770031,ALL,test
FG,0,4.5874170325378145,ALL,test
FG,1,4.589728022169831,ALL,test
FG,2,2.3037424527287,ALL,test
FG,3,2.152009520746686,ALL,test
FG,4,4.504523957461047,ALL,test
FG,5,1.6392773289013562,ALL,test
FG,6,5.443065196954861,ALL,test
FG,7,5.2188379315235585,ALL,test
FG,8,4.629544811116313,ALL,test
FG,9,4.532810271280428,ALL,test
FG,10,5.263591266148535,ALL,test
FG,11,5.311698104635043,ALL,test
FG,12,1.7116623878034698,ALL,test
FG,13,1.693389038019233,ALL,test
FG,14,2.2703722084224167,ALL,test
FG,15,1.8263435584390604,ALL,test
FG,16,5.340038237931161,ALL,test
FG,17,1.3047292822206153,ALL,test
FG,18,1.6590965266050677,ALL,test
FG,19,2.1602735842132605,ALL,test
FG,20,5.222205648947083,ALL,test
FG,21,5.232052327836462,ALL,test
FG,22,4.652948343993329,ALL,test
FG,23,1.3722639257736442,ALL,test
FG,24,2.3459504594024683,ALL,test
FG,25,4.553000195974947,ALL,test
FG,26,2.335652606127246,ALL,test
FG,27,4.72949951685825,ALL,test
FG,28,5.25609430622036,ALL,test
FG,29,1.4135548162374278,ALL,test
