molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB2,0,train,15,494,train,0.00023171902457897833,0.00023171902457897833,0.23171902457897833,0.00028582065288091453,0.2858206528809145,0.0006441853915266083,0.6441853915266083,0.0008840062709336571,0.8840062709336571,1
CO,MB2,0,test,15,494,train,0.00023171902457897833,0.00024250730114520427,0.24250730114520427,0.0003088686059283995,0.3088686059283995,0.0007778608248844299,0.7778608248844299,0.0010148407950424654,1.0148407950424654,1
CO,MB2_prime,0,train,15,500,train,0.0005859373354254664,0.0005859373354254664,0.5859373354254664,0.0007128596462388184,0.7128596462388184,0.001516084614571117,1.516084614571117,0.0021639850624126378,2.163985062412638,1
CO,MB2_prime,0,test,15,500,train,0.0005859373354254664,0.0006118300818028185,0.6118300818028185,0.0007566104145317606,0.7566104145317606,0.0018373333983255913,1.8373333983255913,0.002475992561712076,2.4759925617120757,1
CO,MB2,1,train,15,321,train,8.438353156579778e-05,8.438353156579778e-05,0.08438353156579778,0.00011185105426056865,0.11185105426056866,0.0003123818861506811,0.3123818861506811,0.0004327803043802092,0.4327803043802092,1
CO,MB2,1,test,15,321,train,8.438353156579778e-05,9.836614076887221e-05,0.0983661407688722,0.0001403364918024673,0.1403364918024673,0.00042795948798013406,0.42795948798013406,0.0005499774990196382,0.5499774990196382,1
CO,MB2,2,train,15,369,train,5.085825488783669e-05,5.085825488783669e-05,0.050858254887836685,7.048646615176746e-05,0.07048646615176746,0.00020534743646385967,0.20534743646385967,0.0002814454349446549,0.2814454349446549,1
CO,MB2,2,test,15,369,train,5.085825488783669e-05,6.0867183924825e-05,0.060867183924825,9.092259437589691e-05,0.0909225943758969,0.00028299502266526666,0.28299502266526666,0.0003598897866514683,0.3598897866514683,1
CO,MB2,3,train,15,496,train,0.00043872512779630967,0.00043872512779630967,0.4387251277963097,0.0005319470571440808,0.5319470571440807,0.0011095640691863862,1.1095640691863862,0.0016035724659861361,1.6035724659861361,1
CO,MB2,3,test,15,496,train,0.00043872512779630967,0.0004577998995396256,0.45779989953962563,0.0005616889986013146,0.5616889986013146,0.0013477982163528357,1.3477982163528357,0.0018338530182894774,1.8338530182894774,1
CO,MB2,4,train,15,497,train,0.0002039544262385229,0.0002039544262385229,0.2039544262385229,0.0002508944264262211,0.25089442642622106,0.0005768761821911828,0.5768761821911828,0.0007948024550225863,0.7948024550225863,1
CO,MB2,4,test,15,497,train,0.0002039544262385229,0.00021614089399812352,0.21614089399812353,0.0002753011723757547,0.2753011723757547,0.0007068180605616925,0.7068180605616925,0.0009235900248222295,0.9235900248222295,1
CO,MB2,5,train,15,500,train,0.0003429966785551686,0.0003429966785551686,0.3429966785551686,0.0004162046845914865,0.4162046845914865,0.0009131712935774305,0.9131712935774305,0.0013109438327043033,1.3109438327043033,1
CO,MB2,5,test,15,500,train,0.0003429966785551686,0.0003639888892241538,0.36398888922415384,0.0004504717376827944,0.45047173768279436,0.00111787089865939,1.11787089865939,0.0015120384275951748,1.5120384275951748,1
CO,MB2,6,train,15,197,train,5.89716506037082e-05,5.89716506037082e-05,0.058971650603708195,7.47747375950063e-05,0.0747747375950063,0.00019011100719709684,0.19011100719709684,0.00030226800163671297,0.30226800163671297,1
