molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,final_test_evaluation_call_count,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,MB2,0,train,15,1,train,0.10656599749069627,1,0.10656599749069627,106.56599749069628,0.10689541637415996,106.89541637415996,0.12049731050909178,120.49731050909178,0.027166236733473154,27.166236733473152
CO,MB2,0,test,15,1,train,0.10656599749069627,1,0.10753907382702191,107.53907382702191,0.10786938145802831,107.86938145802831,0.12155021509361173,121.55021509361173,0.027325759749031953,27.325759749031953
CO,MB2_flip1,0,train,15,1,train,0.10656355388610295,1,0.10656355388610295,106.56355388610295,0.10689295765447761,106.89295765447761,0.12049436573461958,120.49436573461958,0.027165300404317194,27.165300404317193
CO,MB2_flip1,0,test,15,1,train,0.10656355388610295,1,0.10753659647678883,107.53659647678883,0.10786688874999353,107.86688874999354,0.12154722848907687,121.54722848907687,0.027324808084393554,27.324808084393553
CO,MB2_flip2,0,train,15,1,train,0.10656437811836829,1,0.10656437811836829,106.56437811836828,0.10689379720362961,106.89379720362962,0.1204955854062124,120.4955854062124,0.027166038438606932,27.166038438606932
CO,MB2_flip2,0,test,15,1,train,0.10656437811836829,1,0.10753744730693228,107.53744730693228,0.10786775507090837,107.86775507090837,0.12154848116300097,121.54848116300097,0.027325558386081195,27.325558386081195
CO,MB2_flip3,0,train,15,1,train,0.10656583033214892,1,0.10656583033214892,106.56583033214892,0.10689527315135512,106.89527315135513,0.12049767765131802,120.49767765131803,0.02716720639288793,27.16720639288793
CO,MB2_flip3,0,test,15,1,train,0.10656583033214892,1,0.10753894177501856,107.53894177501856,0.10786927371308017,107.86927371308016,0.12155062973145765,121.55062973145765,0.027326752510393293,27.32675251039329
CO,MB2_flip4,0,train,15,1,train,0.10656795741310057,1,0.10656795741310057,106.56795741310057,0.10689739336524431,106.89739336524431,0.12049979881310281,120.49979881310281,0.027167193779430845,27.167193779430846
CO,MB2_flip4,0,test,15,1,train,0.10656795741310057,1,0.10754106841306403,107.54106841306402,0.10787139353270556,107.87139353270555,0.12155275059863825,121.55275059863826,0.02732674007899258,27.32674007899258
CO,MB2_flip5,0,train,15,1,train,0.1065661592410502,1,0.1065661592410502,106.5661592410502,0.10689560119889825,106.89560119889825,0.12049801098883618,120.49801098883619,0.027167212738321206,27.167212738321204
CO,MB2_flip5,0,test,15,1,train,0.1065661592410502,1,0.10753927092243667,107.53927092243667,0.10786960201844902,107.86960201844902,0.12155096361720527,121.55096361720527,0.02732675943340461,27.32675943340461
