model,seed,mae_mHa,molecule,split
MB2,0,106.56599749069628,ALL,train
MB2_flip_0,0,106.56355388610295,ALL,train
MB2_flip_01,0,106.56437811836828,ALL,train
MB2_flip_012,0,106.56583033214892,ALL,train
MB2_flip_0123,0,106.56795741310057,ALL,train
MB2_flip_01234,0,106.5661592410502,ALL,train
MB2,0,107.53907382702191,ALL,test
MB2_flip_0,0,107.53659647678883,ALL,test
MB2_flip_01,0,107.53744730693228,ALL,test
MB2_flip_012,0,107.53894177501856,ALL,test
MB2_flip_0123,0,107.54106841306402,ALL,test
MB2_flip_01234,0,107.53927092243667,ALL,test
